,radiant_id,dire_id,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
0,16.0,29.0,100,80,90,7,109,55,77,16,30,106,1
0,16.0,29.0,100,80,55,110,11,18,52,16,88,39,0
0,16.0,29.0,100,90,7,74,54,88,25,16,67,34,1
0,57.0,18.0,51,11,20,30,16,91,7,39,56,2,1
0,16.0,29.0,91,65,18,84,39,99,100,26,70,46,0
0,18.0,57.0,51,11,62,37,54,86,96,16,8,17,1
0,16.0,29.0,91,64,28,63,12,74,100,14,80,33,1
0,21.0,18.0,83,96,5,106,67,64,16,95,76,65,1
0,21.0,18.0,3,96,28,25,44,7,87,70,91,46,0
0,21.0,33.0,7,25,81,39,15,3,16,46,18,88,1
0,21.0,33.0,3,25,88,18,98,37,96,32,109,11,1
0,47.0,51.0,83,8,108,34,87,55,16,37,95,25,0
0,56.0,38.0,97,5,44,7,25,95,64,51,11,60,1
0,56.0,38.0,64,51,39,65,18,95,84,87,25,29,0
0,56.0,38.0,51,11,7,112,15,84,95,87,46,33,0
0,21.0,57.0,91,38,62,56,25,16,3,15,66,46,1
0,57.0,21.0,91,106,64,57,4,97,3,60,70,10,0
0,47.0,44.0,57,64,111,59,49,83,70,27,25,98,0
0,44.0,47.0,11,102,37,84,8,51,32,93,74,75,1
0,12.0,1.0,88,64,109,76,86,5,60,8,29,35,1
0,1.0,12.0,64,95,62,49,61,39,84,63,6,2,1
0,1.0,12.0,91,99,33,94,87,5,60,18,75,104,0
0,23.0,40.0,23,64,7,15,46,88,95,37,57,39,0
0,40.0,23.0,28,50,43,33,44,104,95,64,16,25,0
0,70.0,77.0,83,54,110,2,74,65,27,16,8,11,1
0,40.0,23.0,28,43,97,8,87,55,83,86,13,93,0
0,77.0,70.0,107,25,104,111,48,5,65,51,11,54,0
0,12.0,0.0,110,106,23,89,65,87,16,70,29,1,1
0,14.0,23.0,28,87,25,29,44,91,55,107,54,46,1
0,23.0,14.0,83,110,51,18,39,28,37,55,95,17,1
0,12.0,0.0,5,104,46,95,66,88,92,54,110,17,1
0,14.0,23.0,55,15,3,23,17,107,95,64,65,34,1
0,14.0,12.0,13,3,15,100,102,5,16,18,39,33,0
0,14.0,12.0,55,15,23,3,46,8,5,51,29,76,0
0,81.0,44.0,83,65,26,46,81,5,70,104,32,25,1
0,44.0,81.0,55,18,62,27,44,5,88,25,102,95,0
0,47.0,81.0,83,65,86,77,46,5,16,25,40,63,0
0,81.0,47.0,51,11,84,70,37,86,16,39,55,44,0
0,14.0,12.0,5,13,51,6,76,37,60,18,29,35,1
0,12.0,14.0,110,13,53,21,80,16,87,70,89,25,1
0,14.0,12.0,16,86,54,65,43,13,37,58,15,106,1
0,12.0,14.0,5,106,23,99,55,87,51,70,29,76,0
0,3.0,38.0,91,60,16,17,4,84,39,87,77,7,0
0,3.0,38.0,91,46,60,18,86,51,11,95,87,29,0
0,8.0,21.0,88,39,90,99,29,95,58,86,104,76,1
0,8.0,21.0,3,60,95,15,33,90,99,16,102,13,0
0,21.0,8.0,51,88,86,76,42,3,39,23,95,61,1
0,12.0,2.0,51,13,91,99,57,5,60,8,65,63,1
0,32.0,36.0,16,66,20,63,106,87,65,28,48,82,1
0,12.0,32.0,5,8,14,33,39,91,16,18,71,74,1
0,8.0,21.0,88,80,87,33,11,60,5,78,54,35,0
0,8.0,21.0,51,87,15,39,29,3,95,16,58,46,1
0,54.0,65.0,16,80,30,33,46,5,104,107,54,106,0
0,8.0,21.0,88,80,87,98,2,60,3,29,99,11,0
0,54.0,65.0,38,80,26,74,31,16,104,112,15,34,0
0,21.0,8.0,51,87,15,102,49,3,95,23,65,61,0
0,8.0,21.0,51,15,32,8,37,88,39,87,55,77,0
0,36.0,2.0,16,87,66,34,48,86,28,54,33,106,0
0,2.0,36.0,83,106,86,15,7,37,16,70,88,95,1
0,57.0,21.0,3,80,14,106,33,86,55,32,95,76,1
0,9.0,57.0,86,39,83,8,53,51,11,5,55,18,0
0,9.0,21.0,66,15,86,88,94,5,16,95,55,47,0
0,65.0,31.0,27,56,65,7,34,15,100,28,55,22,1
