,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
44,3539031093,20.0,12,Dota 2 Professional League 2016,4920,Eclipse,24.0,ForTheDream,30.0,28,34,1,60,3,9,88,107,51,62,71,20,64,16,65,49,13,86,30,104,114,43,35,39,4,0
45,3539106428,20.0,12,Dota 2 Professional League 2016,4920,Eclipse,24.0,ForTheDream,30.0,9,27,1,60,88,9,3,20,62,64,51,92,32,13,54,39,65,4,50,40,109,43,106,114,25,0
46,3539175822,20.0,12,Dota 2 Professional League 2016,4920,Team VDuoBao,81.0,Team Braveheart,51.0,26,15,0,91,38,60,3,51,88,85,6,92,44,65,47,112,29,13,20,84,40,23,57,100,4,1
47,3539240191,20.0,12,Dota 2 Professional League 2016,4920,Team Braveheart,51.0,Team VDuoBao,81.0,27,22,0,60,3,51,88,65,85,38,30,62,20,54,43,6,13,16,84,9,109,40,34,36,81,0
48,3539373174,20.0,12,Dota 2 Professional League 2016,4920,Team Waooo,79.0,Rock Gaming,59.0,9,41,0,78,51,88,13,9,20,3,62,65,54,14,109,40,44,114,31,38,28,32,112,39,36,0
49,3539468088,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,Team Waooo,79.0,33,29,0,13,3,39,9,51,78,28,88,16,44,30,112,86,50,101,85,36,47,87,15,75,52,0
50,3539606241,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,Team Waooo,79.0,26,26,0,13,3,112,28,54,9,20,88,16,85,75,39,65,70,30,62,43,40,18,1,109,44,0
51,3539645043,20.0,3,AMD SAPPHIRE Dota PIT,5690,OG,0.0,Vici Gaming,11.0,29,20,1,3,38,47,13,9,79,107,85,27,78,12,45,72,65,69,68,63,94,81,17,41,76,1
52,3539735476,20.0,12,Dota 2 Professional League 2016,4920,Vici Gaming Potential,58.0,Newbee.Young,47.0,28,8,0,62,3,88,85,13,31,60,39,107,38,4,65,20,30,112,75,102,49,1,12,93,9,1
53,3539833160,20.0,3,AMD SAPPHIRE Dota PIT,5690,OG,0.0,Vici Gaming,11.0,12,29,1,3,38,9,78,20,107,47,85,27,100,12,45,68,65,43,110,97,96,109,1,17,8,0
54,3539847416,20.0,12,Dota 2 Professional League 2016,4920,Vici Gaming Potential,58.0,Newbee.Young,47.0,30,12,1,3,62,40,88,31,13,51,107,39,112,43,4,11,65,64,25,16,69,9,1,8,81,1
