"match_id","win","hero_id","account_id","leaguename"
3175497089,false,71,113331514,"EPICENTER: Moscow Season 2"
3175497089,false,53,92847434,"EPICENTER: Moscow Season 2"
3175497089,false,46,5150808,"EPICENTER: Moscow Season 2"
3175497089,false,21,182993582,"EPICENTER: Moscow Season 2"
3175497089,false,54,132739889,"EPICENTER: Moscow Season 2"
3175484408,false,7,86772934,"EPICENTER: Moscow Season 2"
3175484408,false,13,177085220,"EPICENTER: Moscow Season 2"
3175484408,false,37,116782914,"EPICENTER: Moscow Season 2"
3175484408,false,109,256269737,"EPICENTER: Moscow Season 2"
3175484408,false,88,211884113,"EPICENTER: Moscow Season 2"
3175484408,true,46,89871557,"EPICENTER: Moscow Season 2"
3175484408,true,65,86802844,"EPICENTER: Moscow Season 2"
3175484408,true,5,91443418,"EPICENTER: Moscow Season 2"
3175484408,true,67,192914280,"EPICENTER: Moscow Season 2"
3175484408,true,23,111034589,"EPICENTER: Moscow Season 2"
3175376718,false,14,86772934,"EPICENTER: Moscow Season 2"
3175376718,false,95,177085220,"EPICENTER: Moscow Season 2"
3175376718,false,27,116782914,"EPICENTER: Moscow Season 2"
3175376718,false,20,256269737,"EPICENTER: Moscow Season 2"
3175376718,false,102,211884113,"EPICENTER: Moscow Season 2"
3175376718,true,11,89871557,"EPICENTER: Moscow Season 2"
3175376718,true,109,192914280,"EPICENTER: Moscow Season 2"
3175376718,true,5,91443418,"EPICENTER: Moscow Season 2"
3175376718,true,55,86802844,"EPICENTER: Moscow Season 2"
3175376718,true,51,111034589,"EPICENTER: Moscow Season 2"
3174669160,false,5,86974263,"EPICENTER: Moscow Season 2"
3174669160,false,40,221666230,"EPICENTER: Moscow Season 2"
3174669160,false,55,10366616,"EPICENTER: Moscow Season 2"
3174669160,false,8,108452107,"EPICENTER: Moscow Season 2"
3174669160,false,107,236858633,"EPICENTER: Moscow Season 2"
3174669160,true,114,87382579,"EPICENTER: Moscow Season 2"
3174669160,true,90,103735745,"EPICENTER: Moscow Season 2"
3174669160,true,95,86725175,"EPICENTER: Moscow Season 2"
3174669160,true,99,86700461,"EPICENTER: Moscow Season 2"
