,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win
227,2992344935,1486851618,3722973.0,12,3214108.0,35,False
228,2992440348,1486857637,3.0,16,2512249.0,33,False
229,2992490252,1486861008,3.0,25,2512249.0,19,True
230,2992561442,1486865224,3.0,7,2512249.0,34,False
231,2993918338,1486908415,2621843.0,2,2006913.0,23,False
232,2994071101,1486913471,2006913.0,5,2621843.0,24,False
233,2994154401,1486915881,3729377.0,8,111474.0,17,False
234,2994156674,1486915964,2006913.0,15,2621843.0,26,False
235,2994271170,1486919807,46.0,31,2790766.0,9,True
236,2994272179,1486919839,3729377.0,34,111474.0,51,False
237,2994362207,1486923123,46.0,43,2790766.0,45,True
238,2994454005,1486926905,2586976.0,26,2642171.0,44,False
239,2994535806,1486930741,2586976.0,29,2642171.0,6,True
240,2994582204,1486933213,3.0,7,3214108.0,32,False
241,2994598672,1486934166,2642171.0,20,2586976.0,36,False
242,2994658278,1486938054,3.0,17,3214108.0,28,False
243,2994731712,1486943863,3214108.0,18,2512249.0,13,True
244,2994783634,1486948117,2512249.0,6,3214108.0,24,False
245,2995849940,1486994146,2621843.0,29,2790766.0,41,False
246,2995983959,1486998083,2790766.0,29,2621843.0,17,True
247,2996126655,1487002761,2642171.0,30,111474.0,17,True
248,2996187887,1487004962,46.0,19,2790766.0,29,False
249,2996231157,1487006607,111474.0,59,2642171.0,16,True
250,2996284130,1487008708,46.0,30,2790766.0,24,True
251,2996351487,1487011560,111474.0,37,2642171.0,16,True
252,2996369926,1487012391,46.0,25,2790766.0,15,True
253,2996459060,1487016727,111474.0,19,2586976.0,30,False
254,2996533153,1487020991,2586976.0,39,111474.0,22,True
255,2998267500,1487099400,3720366.0,21,3.0,36,False
256,2998331898,1487102645,3.0,27,3720366.0,8,True
257,2998457230,1487110727,2701329.0,7,3722973.0,25,False
258,2998503111,1487114555,2701329.0,13,3722973.0,38,False
259,3000212480,1487186175,2701329.0,33,3720366.0,19,True
260,3000283640,1487189805,2701329.0,14,3720366.0,36,False
261,3000335007,1487192845,3720366.0,33,2701329.0,6,True
262,3000392744,1487196790,3.0,26,3722973.0,32,False
