,againstHero,games,hero,losses,shift,wins
92,43,12,46,3,16.90387334173946,9
93,29,18,57,4,16.90112236273495,14
94,13,12,10,3,16.892767460419815,9
95,78,14,48,3,16.88793509976696,11
96,88,27,29,7,16.852047860671817,20
97,72,14,69,3,16.843378758894527,11
98,1,10,76,3,16.815372977495876,7
99,23,13,83,3,16.744700089549806,10
100,95,15,71,5,16.72675418994599,10
101,78,28,112,7,16.679149831728484,21
102,53,23,69,6,16.67657945090473,17
103,101,10,36,2,16.6279467044195,8
104,95,22,68,4,16.550204863156036,18
105,49,17,81,5,16.548537671207544,12
106,17,12,79,3,16.528587589888385,9
107,66,10,64,2,16.526342406123636,8
108,109,17,29,6,16.51535492742475,11
109,61,10,87,3,16.482333693393567,7
110,14,15,55,3,16.464885141480416,12
111,11,25,25,5,16.429746187224733,20
112,99,19,39,4,16.42872930905631,15
113,29,10,40,2,16.378294184390825,8
114,110,11,43,3,16.376498956572302,8
115,27,13,83,2,16.368092522641092,11
116,100,22,57,6,16.35292952819185,16
117,104,19,2,6,16.352388003055783,13
118,30,18,85,5,16.30460960882904,13
119,65,16,33,4,16.28612136110108,12
120,16,37,77,9,16.280895857817438,28
121,34,12,80,2,16.269229317512288,10
122,86,25,58,6,16.26853319646312,19
123,102,16,60,5,16.199085660218575,11
124,48,17,9,4,16.17773183563187,13
125,48,12,35,3,16.1584671300222,9
126,43,10,102,3,16.154622115934178,7
127,98,13,46,4,16.128351252027375,9
128,71,15,112,4,16.116875921028473,11
129,41,18,5,6,16.05037708250146,12
130,15,14,37,3,16.033544043199246,11
131,14,13,63,4,15.961958621197992,9
132,54,18,76,5,15.916701819672271,13
133,2,18,51,6,15.905597113130021,12
134,80,13,70,2,15.901333417895936,11
135,53,30,9,8,15.894615033798411,22
136,94,18,57,5,15.891839037049907,13
137,90,29,28,7,15.880089586771653,22
138,94,23,51,6,15.876961640520744,17
139,16,45,31,12,15.837412153743443,33
140,15,12,41,3,15.833444649300692,9
141,95,22,17,5,15.80262158037718,17
142,80,19,88,6,15.782107491065846,13
143,30,11,93,3,15.777207362300766,8
144,75,10,35,2,15.755761764469415,8
145,17,13,94,4,15.746212612138292,9
146,93,16,96,4,15.733194627661211,12
147,80,12,35,3,15.72406211872363,9
148,98,14,88,3,15.721203352726127,11
149,75,13,80,3,15.718052052365534,10
150,45,20,51,5,15.703190735785382,15
151,8,13,1,3,15.702434313684373,10
152,15,14,112,4,15.700949053545523,10
153,15,17,77,4,15.676504035867326,13
154,14,12,97,2,15.664913845649806,10
155,90,13,97,4,15.621888085765939,9
156,106,11,85,3,15.60573196351404,8
157,23,10,69,2,15.603167423944376,8
158,4,14,45,4,15.600891470448106,10
159,100,10,90,2,15.596895375105728,8
160,23,20,5,5,15.563915929412016,15
161,104,12,31,4,15.561592201078605,8
162,25,11,14,2,15.536643242754739,9
163,13,12,66,3,15.520614540867866,9
