,radiant_H1elo_vs_enemies,radiant_H2elo_vs_enemies,radiant_H3elo_vs_enemies,radiant_H4elo_vs_enemies,radiant_H5elo_vs_enemies,dire_H1elo_vs_enemies,dire_H2elo_vs_enemies,dire_H3elo_vs_enemies,dire_H4elo_vs_enemies,dire_H5elo_vs_enemies,match_id
17,-18.454524757561217,16.912737846539667,-4.232477507588537,-4.759850232420905,0.9883835085275137,-9.395454792236961,-1.2049870179628241,6.47062401264634,2.306914404283361,11.368634535773564,3763905209
18,-9.393567060349866,12.781215553956828,-5.719096951552745,-0.9946863813271443,4.173048761982667,-0.40028191264837654,6.0658545735196725,-10.63272769188259,9.842286654215656,-5.7220455459140975,3764049023
19,-9.030177529429938,-15.816468864641784,-5.437950232731197,3.1930813855864035,10.081927558224125,-3.4981926870220157,19.01312094468798,0.7430816978318981,-2.302994373015085,3.0545721005096147,3764167820
20,-1.8162723856982304,5.902945711006078,1.2447916607638518,3.188786740680788,-12.821171771406974,6.065736688490769,-1.4568593232523583,5.98854067957195,3.208880204222595,-9.50537820437847,3764298763
27,-0.5565131499537892,-6.979455234373281,4.120710728822195,5.495414023855817,-15.078066033950693,4.235004835780909,7.935698902662501,-2.5764215594151016,1.1065685214116523,2.2970589651597906,3765204718
28,-3.6277872580579986,-4.911176270995769,2.2005375272776826,12.345383482339145,-6.645430295409732,-18.030690629539503,9.097440332830091,11.39472291135568,-2.4265020173629113,0.6035022175633102,3765289061
29,21.134356886828364,12.504260629496802,-3.0233988669250875,-7.685521877534056,-2.254003540734118,4.102792129889488,-11.51390812961639,-3.113276043949641,3.07509855143688,-13.22639973889224,3765370823
30,-19.376164794525906,1.3180445637848368,-2.0444217922600503,4.263931505173277,3.531212988146387,2.595889379077371,6.072065549175959,-1.5572725888287642,-1.430725950974879,6.6274411412317695,3765492612
31,6.276511751297829,-13.689981028646631,2.0918159261236036,-0.9862402666704053,-3.4402925868451146,2.8564632422584126,-0.5004250050053465,0.07761318052283683,-7.339356448939763,14.65389123590458,3765600224
32,-0.4506858133885465,17.89169853056705,13.58999760846868,-2.6945103237120973,-10.48207085465801,-0.7012305384359503,-7.504654105396216,-0.3458660123194315,-18.985765736135132,9.683087245009652,3765708885
33,16.289252869999864,1.9212887960195957,5.465334195665049,1.332646749924499,1.7413629136052071,0.8547905480370365,-12.781180563903662,2.579684612690264,1.1360076569909108,-18.539187779028765,3765833999
34,-0.9958910312063611,-5.806043776434956,-2.1084541848803395,18.39261473265845,8.318748540963355,0.3684339607117364,-6.01373725122405,4.751194723868096,-10.389012807212449,-6.517852907243487,3765946065
35,11.670522688386404,6.677234416966515,-1.2093344306151126,-5.444514589714582,3.0960596815689065,-8.418415957208934,-4.3994506370407835,-7.743239234927322,5.473677173339277,0.2974608892456332,3766681094
