,radiant_H1elo_vs_enemies,radiant_H2elo_vs_enemies,radiant_H3elo_vs_enemies,radiant_H4elo_vs_enemies,radiant_H5elo_vs_enemies,dire_H1elo_vs_enemies,dire_H2elo_vs_enemies,dire_H3elo_vs_enemies,dire_H4elo_vs_enemies,dire_H5elo_vs_enemies,match_id
50,-3.011408206550131,-1.0809530602885418,9.50651985210691,-1.8672273598015492,-2.9241583212862947,-2.942105539784543,0.1903234634943236,4.995012514589301,7.566566699897686,-10.432570042377153,2912585848
51,-2.751906887363071,3.5759925307707072,8.60597189481229,-3.7822389190101466,6.0958641282195565,-7.062964384134874,8.235040272646605,-0.6147051480805983,0.2924169307578812,-12.593470418618356,2912669765
52,-2.800156128192825,12.27738626546337,15.608031900377883,-3.1582629697045004,12.443935001640716,0.6228639918231631,-4.8656738244313384,-16.209431130860395,-3.978033597519325,-9.940659508596744,2912673536
53,-3.994471813613298,11.074533038501144,-11.926217860898653,-6.288731980807433,-3.866859975884749,3.8417117007136916,2.0833170440366198,10.978759386538577,1.1225892667669255,-3.02462880535282,2913969022
54,-0.6780027950455304,8.885210071656815,-7.4879614789078275,1.9985714610597847,-13.955529067681463,-0.4909579084201159,-2.7882567548196255,8.994189223255308,6.151611590974921,-0.6288743420722649,2913972887
55,5.716404036605263,-10.915835833660953,-3.805935128664122,0.07634402686430519,1.891473948824109,3.5707289373015163,3.2886415912107902,-20.823720386010336,4.3038997385035564,16.697999069025883,2914013128
56,-1.4322410192750632,6.570655169635282,4.926270397893067,-3.9809997606321925,0.0014156221204875141,10.462519123067068,-23.06691503597969,6.749760691522894,-6.7492352445026285,6.5187700561507835,2914026555
57,17.618006466345367,-7.524097999648408,4.783981362999139,5.470723057770211,-2.7843889111388,-3.3024186083484435,1.2684294961716116,-12.36307097311629,-10.15391740258654,6.986753511552146,2914078882
58,-5.766306012190865,-3.6666007149510325,-5.603165224681,-11.470631572427475,11.385507820077379,-5.5141172813679695,-0.7317410736197569,4.3760026158540795,12.851223276287941,4.139828167018699,2914080941
59,-10.389319929991975,9.412531843811422,-1.1420275066922498,17.938508978019367,0.5870042954745487,-5.180484993659563,13.205471208480716,-27.246261446095115,1.2653295262073354,1.5492480244455056,2914098996
