,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
29,16,1520578.0,2911941849,35,5.0,True,1484274883,55.0,106.0,86.0,63.0,62.0,111.0,16.0,76.0,87.0,41.0,129958758.0,205813150.0,140153524.0,90892734.0,207829314.0,89598554.0,138885864.0,111189717.0,131043881.0,186627166.0,Dota 2 Asia Championships 2017
30,26,3547682.0,2911996278,14,726228.0,False,1484278397,55.0,48.0,84.0,17.0,30.0,54.0,79.0,9.0,35.0,96.0,139937922.0,139280377.0,135384059.0,186977347.0,114239371.0,130416036.0,113800818.0,101695162.0,137272985.0,91698091.0,Dota 2 Asia Championships 2017
31,8,2414475.0,2911996447,28,2833354.0,True,1484278407,79.0,8.0,48.0,23.0,55.0,96.0,107.0,10.0,106.0,111.0,110228930.0,120374476.0,166458146.0,182331313.0,156662698.0,141065684.0,222189151.0,211284773.0,262367336.0,136187546.0,Dota 2 Asia Championships 2017
32,20,2640025.0,2912003522,5,15.0,False,1484278856,89.0,88.0,70.0,107.0,90.0,104.0,55.0,48.0,50.0,28.0,177416702.0,98878010.0,106863163.0,107081378.0,131237305.0,173880329.0,111291593.0,137193239.0,103039499.0,103940975.0,Dota 2 Asia Championships 2017
33,8,2414475.0,2912046467,37,2833354.0,True,1484281477,63.0,65.0,87.0,55.0,106.0,108.0,79.0,54.0,73.0,52.0,166458146.0,110228930.0,182331313.0,156662698.0,120374476.0,141065684.0,222189151.0,211284773.0,262367336.0,136187546.0,Dota 2 Asia Championships 2017
34,27,15.0,2912047092,35,2640025.0,True,1484281510,104.0,52.0,30.0,28.0,48.0,107.0,16.0,90.0,89.0,25.0,173880329.0,103940975.0,103039499.0,111291593.0,137193239.0,107081378.0,98878010.0,131237305.0,177416702.0,106863163.0,Dota 2 Asia Championships 2017
35,32,726228.0,2912048548,15,3547682.0,False,1484281594,16.0,106.0,50.0,30.0,8.0,96.0,87.0,11.0,65.0,48.0,91698091.0,137272985.0,101695162.0,113800818.0,130416036.0,139937922.0,114239371.0,186977347.0,135384059.0,139280377.0,Dota 2 Asia Championships 2017
36,31,3331948.0,2912107760,30,2860081.0,False,1484284872,29.0,28.0,79.0,10.0,106.0,84.0,11.0,88.0,8.0,87.0,157475523.0,173812218.0,89166519.0,110837826.0,139174891.0,89217927.0,90882159.0,92590479.0,148215639.0,136186119.0,Dota 2 Asia Championships 2017
37,16,4.0,2912152161,39,1520578.0,True,1484287134,16.0,86.0,50.0,41.0,43.0,65.0,54.0,57.0,106.0,87.0,138885864.0,89598554.0,131043881.0,186627166.0,111189717.0,253962772.0,108376607.0,89246836.0,135878232.0,117990312.0,Dota 2 Asia Championships 2017
38,37,,2912153276,45,5.0,True,1484287188,30.0,80.0,104.0,107.0,34.0,79.0,96.0,14.0,106.0,9.0,140153524.0,90892734.0,129958758.0,207829314.0,205813150.0,104652351.0,140178149.0,88553213.0,88585077.0,98887913.0,Dota 2 Asia Championships 2017
39,23,2860081.0,2912195755,35,3331948.0,True,1484289199,37.0,8.0,35.0,84.0,65.0,11.0,107.0,51.0,70.0,30.0,136186119.0,148215639.0,90882159.0,89217927.0,92590479.0,139174891.0,173812218.0,157475523.0,110837826.0,89166519.0,Dota 2 Asia Championships 2017
40,6,4.0,2912227197,19,1520578.0,True,1484290616,8.0,50.0,11.0,84.0,51.0,55.0,62.0,39.0,30.0,1.0,186627166.0,89598554.0,111189717.0,131043881.0,138885864.0,253962772.0,117990312.0,135878232.0,89246836.0,108376607.0,Dota 2 Asia Championships 2017
41,9,20.0,2912240952,23,5.0,True,1484291235,8.0,84.0,55.0,86.0,11.0,35.0,96.0,79.0,51.0,16.0,90892734.0,207829314.0,129958758.0,140153524.0,205813150.0,88585077.0,98887913.0,88553213.0,140178149.0,104652351.0,Dota 2 Asia Championships 2017
42,19,2640025.0,2912302758,7,2833354.0,False,1484293856,68.0,54.0,107.0,88.0,17.0,65.0,20.0,11.0,8.0,108.0,110228930.0,166458146.0,182331313.0,156662698.0,120374476.0,111291593.0,103039499.0,173880329.0,137193239.0,103940975.0,Dota 2 Asia Championships 2017
