"match_id","avg","count","winrate","winrate_wilson","sum","min","max","stddev"
412096852,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
415769388,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
415865536,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
415917517,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
415961481,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
416014288,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
416060207,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
416830550,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
416972601,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
417028462,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
417093185,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
417135773,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
418008080,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
418076233,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
418174972,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
418231763,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
418263589,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
419141130,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
419210687,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
419278024,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
419338855,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
419392977,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
420695191,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
420835302,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
420949358,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
421036490,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
422854981,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
423196442,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
423283355,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
425073553,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
425167311,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
425279636,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
425364069,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
425430945,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
426688355,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
426787326,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
426859991,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
426939706,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
427017801,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
428114544,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
428191058,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
428277951,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
428370985,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
428443356,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
428511634,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
429568769,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
429625547,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
429747320,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
429790968,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
429865860,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
430873550,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
430954700,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
431009448,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
432581947,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
432647284,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
434155251,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
434276746,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
434341129,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
434403915,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
435678652,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
435768241,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
435860071,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
435950064,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
436010648,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
436077361,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
436140475,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437230656,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437304066,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437423132,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437475846,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437528445,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437578490,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
437616621,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
442375694,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
442466388,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
442544497,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
442636090,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
442684892,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
442738204,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
443945314,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
444046300,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
444117232,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
444219403,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
444285016,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
445629224,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
445710230,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
445792693,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
453007953,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
453083523,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
453164462,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
453262657,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
