,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
791,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3142741991
792,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,3142860818
793,5.0,5.0,4.0,5.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3142994571
794,4.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3143205143
795,4.0,4.0,2.0,3.0,5.0,0.0,1.0,2.0,0.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,3143329659
796,4.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,3.0,3143459631
797,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,3143516306
798,4.0,4.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,0.0,0.0,3144097046
799,5.0,4.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,3144175535
800,4.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,3144277462
801,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3144437316
802,5.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,3144607791
803,3.0,4.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,0.0,1.0,3144797892
804,3.0,2.0,4.0,1.0,3.0,2.0,2.0,0.0,1.0,3.0,5.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,3144980236
805,5.0,4.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,3145102364
806,5.0,4.0,3.0,4.0,0.0,4.0,2.0,1.0,0.0,4.0,2.0,2.0,4.0,3.0,0.0,1.0,1.0,1.0,3145229865
807,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,3145310611
808,5.0,4.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,3145389817
809,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,3146085916
810,4.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3146197371
811,5.0,2.0,3.0,5.0,4.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,3146324886
812,4.0,4.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3146474108
813,5.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,3146595270
814,4.0,5.0,4.0,4.0,0.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,3146730782
815,5.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,3146937153
816,3.0,3.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,3147083553
817,5.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3147190590
818,4.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,3147338543
819,3.0,2.0,4.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3147464579
820,4.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3147569106
821,4.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,5.0,3.0,2.0,5.0,4.0,2.0,2.0,1.0,0.0,3148230043
822,5.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,4.0,0.0,2.0,1.0,0.0,3148357328
823,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,3148575443
