,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
219,4.0,LGD.Forever Young,11.0,Vici Gaming,49,38,16,9,25,37,79,78,43,103,18,0
220,30.0,ForTheDream,58.0,Vici Gaming Potential,57,9,23,92,63,38,107,39,112,78,1,1
221,4.0,LGD.Forever Young,11.0,Vici Gaming,45,38,16,50,72,39,79,78,23,109,104,1
223,85.0,CDEC.Avenger,55.0,KEEN GAMING,27,38,88,87,54,76,72,84,86,108,15,0
224,15.0,VGJ Thunder,11.0,Vici Gaming,61,112,78,16,39,77,84,72,87,69,49,0
226,55.0,KEEN GAMING,85.0,CDEC.Avenger,75,112,65,13,85,81,16,30,14,4,1,1
227,15.0,VGJ Thunder,11.0,Vici Gaming,45,112,39,51,6,40,3,78,88,9,12,1
229,39.0,Execration,6.0,Mineski.???,81,112,60,7,34,20,107,64,13,48,22,0
230,15.0,VGJ Thunder,11.0,Vici Gaming,77,38,68,89,34,72,43,16,87,104,63,1
231,59.0,Rock Gaming,58.0,Vici Gaming Potential,31,51,9,87,49,29,13,107,30,38,98,0
232,17.0,Natus Vincere,34.0,M19,70,85,87,47,60,41,91,51,16,63,11,1
233,58.0,Vici Gaming Potential,59.0,Rock Gaming,75,60,23,68,74,81,84,9,39,41,100,0
234,6.0,Mineski.???,39.0,Execration,79,88,31,65,40,94,28,64,114,21,62,0
235,12.0,Newbee,4.0,LGD.Forever Young,50,38,28,75,42,35,16,9,50,69,98,1
236,27.0,Mid or Feed,38.0,PENTA Sports,63,31,97,71,54,36,7,30,39,29,109,1
237,34.0,M19,17.0,Natus Vincere,54,38,91,88,54,17,112,69,39,78,61,1
238,39.0,Execration,6.0,Mineski.???,71,85,13,26,92,12,20,28,31,88,34,0
239,4.0,LGD.Forever Young,12.0,Newbee,63,84,65,107,49,20,3,9,63,16,15,1
240,27.0,Mid or Feed,38.0,PENTA Sports,46,20,52,107,43,102,16,30,39,57,44,0
241,34.0,M19,17.0,Natus Vincere,37,112,58,88,47,1,69,75,45,16,48,0
242,29.0,TNC Pro Team,7.0,Fnatic,52,7,75,15,104,17,107,3,100,109,74,0
244,4.0,LGD.Forever Young,12.0,Newbee,37,84,72,26,57,44,85,13,107,15,70,1
245,27.0,Mid or Feed,38.0,PENTA Sports,49,31,55,28,9,77,41,68,16,39,33,0
246,3.0,Effect,8.0,Vega Squadron,52,86,68,96,1,47,112,88,13,54,76,1
247,29.0,TNC Pro Team,7.0,Fnatic,56,7,3,74,54,89,19,78,39,87,15,0
249,57.0,mousesports,10.0,HellRaisers,36,62,92,107,55,44,53,71,39,87,4,0
