,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
185,,Ahead.,17.0,Natus Vincere,0,43,69,51,89,11,50,28,33,86,92,1
186,,MeetYourMakers.Dota2,7.0,Fnatic,0,68,17,86,26,76,50,28,65,89,13,0
187,,,18.0,Virtus.pro,0,51,40,69,10,38,68,9,66,33,56,1
188,,Revival Dragons.,,Alliance,0,87,50,88,75,4,40,51,17,13,93,0
189,,,7.0,Fnatic,0,28,50,65,13,6,92,9,7,96,31,1
190,,MVP HOTSIX,,NoProblem.kr,0,16,9,68,83,65,74,93,92,13,48,1
191,,Birdgang,,GET OUTS,0,91,50,88,26,30,74,69,72,39,42,1
192,,Monkey Spanner,,Ing-ing-inG,0,50,65,83,26,39,51,69,89,42,11,1
193,21.0,Team Empire,,TheRerereTRY,0,53,9,5,86,77,74,65,87,66,49,1
194,17.0,Natus Vincere,18.0,Virtus.pro,0,106,69,58,62,43,3,53,9,91,81,1
195,,Revival Dragons.,,MeetYourMakers.Dota2,0,74,40,5,13,63,50,28,79,9,53,0
196,,"Relax, you are doing fine.",,_PowerRangers,0,88,87,69,42,2,53,86,43,17,28,0
197,,Ahead.,,Radical Online X-tremists,0,48,83,86,79,66,106,72,51,88,17,0
198,,_Cleave_,,Radical Online X-tremists,0,50,28,102,54,5,51,87,17,103,60,0
199,,xGame.kz,,"Relax, you are doing fine.",0,69,87,17,49,45,106,50,83,72,5,0
200,23.0,Invictus Gaming,,Dream time.,0,92,86,49,68,16,77,53,78,10,99,1
201,11.0,Vici Gaming,,CIS-Game,0,65,9,35,88,46,27,68,69,42,16,1
202,12.0,Newbee,,TongFu.WanZhou,0,74,86,16,88,48,73,27,58,98,93,1
203,5.0,LGD-GAMING,12.0,Newbee,0,40,88,69,86,106,65,78,68,13,63,0
204,17.0,Natus Vincere,,"Relax, you are doing fine.",0,83,69,72,98,31,106,86,28,60,27,1
205,23.0,Invictus Gaming,11.0,Vici Gaming,0,68,73,88,92,17,53,86,54,3,48,1
