,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3672593060,21,18,ESL One Katowice 2018 powered by Intel,9633,LGD-GAMING,5.0,KEEN GAMING,55.0,36,17,0,100,3,19,60,51,62,103,57,11,15,41,77,58,12,30,79,16,43,29,63,65,93,1
0,3672651683,21,18,SL i-League Invitational Season 4,9579,Vici Gaming,11.0,VGJ Thunder,15.0,18,11,0,11,100,90,57,19,94,60,103,77,12,65,3,108,13,29,112,87,98,43,76,58,34,1
0,3672653744,21,5,SL i-League Invitational Season 4,9579,AGV????,,Mineski.???,6.0,9,31,0,16,34,86,51,3,60,62,27,100,19,94,29,77,11,20,39,108,48,79,76,78,49,0
0,3672659134,21,5,ESL One Katowice 2018 powered by Intel,9633,Fnatic,7.0,Geek Fam,24.0,32,7,0,57,51,88,60,100,15,19,103,27,68,16,108,62,34,42,28,65,12,49,17,72,106,1
0,3672683657,21,18,ESL One Katowice 2018 powered by Intel,9633,KEEN GAMING,55.0,LGD-GAMING,5.0,20,39,0,62,3,60,11,57,103,19,100,27,12,30,108,87,29,78,86,39,13,84,1,110,81,0
0,3672734100,21,5,ESL One Katowice 2018 powered by Intel,9633,Geek Fam,24.0,Fnatic,7.0,33,26,0,60,57,3,88,98,38,51,62,11,34,109,65,100,67,27,28,22,77,111,29,78,19,1
0,3672805308,21,18,ESL One Katowice 2018 powered by Intel,9633,LGD.Forever Young,4.0,VGJ Thunder,15.0,22,9,0,11,100,3,57,49,60,103,19,107,94,65,15,77,12,30,87,46,78,81,29,8,41,1
0,3672818831,21,5,PGL BUCHAREST MAJOR 2018,9584,Clutch Gamers,40.0,TNC Pro Team,29.0,38,24,1,88,107,60,19,51,62,69,84,15,100,12,94,13,86,29,87,23,34,81,17,56,61,1
0,3672826266,21,5,ESL One Katowice 2018 powered by Intel,9633,Geek Fam,24.0,Fnatic,7.0,29,29,1,57,60,88,19,65,51,62,27,103,34,3,67,87,22,12,75,38,109,29,17,104,74,0
0,3672919546,21,18,ESL One Katowice 2018 powered by Intel,9633,VGJ Thunder,15.0,LGD.Forever Young,4.0,17,12,0,100,57,51,60,77,103,19,49,107,16,68,43,15,65,30,50,76,59,29,98,61,2,1
0,3672924338,21,5,PGL BUCHAREST MAJOR 2018,9584,TNC Pro Team,29.0,Clutch Gamers,40.0,21,32,1,69,60,19,88,107,62,51,11,100,13,34,87,77,55,27,22,41,29,109,15,80,59,0
0,3672976384,21,5,PGL BUCHAREST MAJOR 2018,9584,Fnatic,7.0,Execration,39.0,38,29,0,100,60,57,51,88,62,69,27,103,19,87,15,3,65,42,84,108,75,34,11,12,98,1
0,3672986849,21,5,SL i-League Invitational Season 4,9579,Geek Fam,24.0,Mineski.???,6.0,18,37,0,15,60,88,69,19,58,51,62,11,39,78,13,108,27,65,3,87,97,8,81,41,42,0
0,3673012387,21,5,PGL BUCHAREST MAJOR 2018,9584,BOOM ID,,AGV????,,29,13,0,78,60,34,69,57,16,51,64,11,27,109,20,76,108,107,19,54,58,39,65,80,29,1
0,3673014367,21,18,ESL One Katowice 2018 powered by Intel,9633,LGD.Forever Young,4.0,VGJ Thunder,15.0,27,8,0,3,100,11,103,107,57,60,12,30,49,29,43,77,15,23,50,65,104,63,94,8,76,1
0,3673105024,21,5,PGL BUCHAREST MAJOR 2018,9584,Execration,39.0,Fnatic,7.0,36,35,0,60,57,15,69,84,100,19,62,64,3,51,76,88,34,29,103,20,55,106,94,70,39,1
