,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
1502,1042720490,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Evil Geniuses,14.0,Alliance,,0,0,0,20,6,15,77,103,78,30,101,64,93,29,61,96,41,89,74,22,33,109,36,1
1503,1042729525,20.0,3.0,Dota Pit League Season 2 Ticket,1942,STARK.gg,,,,0,0,1,20,47,43,93,78,101,84,30,41,68,65,36,29,69,15,64,1,89,63,74,1
1504,1042860947,20.0,3.0,Dota Pit League Season 2 Ticket,1942,,,STARK.gg,,0,0,1,47,101,93,84,78,20,77,30,29,41,36,65,43,64,92,27,109,61,53,44,1
1505,1042891163,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,Virtus.pro,18.0,0,0,0,104,13,36,78,84,20,103,41,65,15,47,43,54,101,17,97,93,29,110,96,0
1506,1043065451,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,Virtus.pro,18.0,0,0,1,41,104,78,36,13,101,84,91,96,93,94,44,29,6,77,92,47,65,63,95,1
1507,1043071106,20.0,3.0,Dota Pit League Season 2 Ticket,1942,HellRaisers,10.0,Sneaky Nyx Assassins,,0,0,1,91,78,29,68,20,13,84,87,41,104,9,64,96,106,101,93,65,77,44,40,1
1508,1043233479,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,,,0,0,0,91,6,29,13,78,20,64,103,77,109,89,41,83,93,17,65,3,104,63,101,1
1509,1043325400,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,,,0,0,1,6,78,13,91,20,103,89,64,65,17,29,77,40,84,53,1,106,3,86,104,1
1510,1043352987,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,Team_eHug,,paiN Gaming,,0,0,1,22,28,75,14,41,45,65,13,31,37,33,35,49,30,83,16,78,82,20,36,1
1511,1043806276,,,Korea Dota League Season 4 Ticket,2057,Monkey Spanner,,B-minor Gaming Style,,0,0,0,43,91,84,106,65,89,9,93,103,64,78,15,20,26,47,50,13,98,53,74,1
1512,1043917045,,,Korea Dota League Season 4 Ticket,2057,MVP HOTSIX,,R a v e,,0,0,0,34,78,29,89,106,20,13,64,103,22,101,84,87,30,6,41,77,47,74,61,0
1513,1044012549,,,Korea Dota League Season 4 Ticket,2057,MVP HOTSIX,,R a v e,,0,0,0,34,106,29,78,64,43,103,13,101,69,41,94,79,20,9,77,61,63,84,110,0
1514,1044783857,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,EXECRATION1,,Can't Say Wips,,0,0,0,43,89,41,106,84,78,101,65,20,39,94,9,7,93,63,25,13,96,29,34,0
1515,1044869467,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,,,Evil Geniuses,14.0,0,0,0,6,78,103,77,13,20,64,84,41,17,97,26,109,22,40,30,89,3,88,15,1
1516,1045013091,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,First Departure,,,,0,0,0,104,78,89,15,96,110,33,43,29,67,44,93,6,20,84,106,97,47,94,85,1
1517,1045081903,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,,,Evil Geniuses,14.0,0,0,0,6,78,103,77,13,20,64,84,41,17,109,1,89,22,40,11,57,65,101,106,1
1518,1045232114,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,TeamMalaysia,,,,0,0,0,78,43,96,101,29,41,47,79,84,104,68,109,30,9,53,61,106,16,7,15,1
1519,1045260365,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,Evil Geniuses,14.0,0,0,1,77,13,78,64,20,103,29,17,101,7,109,6,89,30,75,54,65,97,84,51,0
1520,1045438067,20.0,3.0,Dota Pit League Season 2 Ticket,1942,mYinsanity - sensei,,Denial Esports|,,0,0,1,78,47,91,61,64,20,13,84,6,104,38,55,69,10,15,31,75,68,5,41,0
1521,1045466138,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Evil Geniuses,14.0,TEAMERINO TINKERINO,,0,0,0,78,29,64,30,20,91,53,13,99,77,84,6,44,103,60,93,61,57,3,98,1
1522,1045580133,20.0,3.0,Dota Pit League Season 2 Ticket,1942,Denial Esports|,,mYinsanity - sensei,,0,0,1,47,91,61,78,13,68,93,38,15,67,84,44,9,40,3,102,106,6,95,72,1
1523,1045634217,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Alliance,,,,0,0,1,109,6,89,78,103,20,13,5,65,47,77,40,41,29,64,22,42,101,88,44,0
1524,1045669873,20.0,2.0,HyperX D2L Season 5,2096,TEAMERINO TINKERINO,,Sneaky Nyx Assassins,,0,0,1,77,78,103,20,29,91,13,101,19,17,41,16,65,84,68,106,93,72,18,1,1
1525,1045744433,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Alliance,,,,0,0,1,109,6,89,78,20,13,103,84,65,44,77,40,41,35,101,53,29,96,17,99,1
1526,1045753224,20.0,2.0,HyperX D2L Season 5,2096,TEAMERINO TINKERINO,,Sneaky Nyx Assassins,,0,0,0,91,77,101,78,29,20,13,9,103,41,68,43,6,31,92,10,22,64,95,2,0
1527,1045828118,20.0,2.0,HyperX D2L Season 5,2096,TEAMERINO TINKERINO,,Sneaky Nyx Assassins,,0,0,0,91,29,101,77,78,20,13,103,106,41,1,3,30,10,64,31,96,89,63,51,0
1528,1045938514,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Virtus.pro,18.0,,,0,0,1,103,78,6,43,84,13,20,77,41,40,64,29,22,101,109,15,96,65,104,26,0
1529,1046003170,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Virtus.pro,18.0,,,0,0,1,103,78,13,84,43,6,92,7,47,96,74,101,20,29,110,3,82,46,21,93,1
1530,1046103216,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,Not Today,,Leviathan',,0,0,0,106,78,65,64,101,41,84,42,74,20,43,46,103,9,75,14,15,77,22,23,0
1531,1046156953,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,paiN Gaming,,ROOT-gaming.com,,0,0,0,103,78,65,77,20,101,43,84,42,41,47,15,29,52,92,31,96,1,54,67,1
1532,1047397480,20.0,3.0,SLTV Star Series Season 11 Ticket,2158,xGame.kz,,GOOMBA Gamingg,,0,0,1,64,78,104,84,20,43,7,13,95,68,36,65,101,87,29,89,96,106,48,110,0
1533,1047408533,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,First Departure,,Invasion eSports,,0,0,0,89,43,110,78,96,33,84,64,101,67,41,44,94,20,6,88,1,29,90,106,1
1534,1047570303,20.0,8.0,SLTV Star Series Season 11 Ticket,2158,HellRaisers,10.0,xGame.kz,,0,0,1,91,29,89,78,20,84,41,68,101,93,13,43,30,44,97,53,47,17,65,22,1
1535,1047587322,20.0,3.0,Dota Pit League Season 2 Ticket,1942,Denial Esports|,,Team Secret,1.0,0,0,1,103,78,61,20,91,13,68,47,84,38,29,3,87,88,69,42,19,6,109,55,0
1536,1047680381,20.0,3.0,Dota Pit League Season 2 Ticket,1942,Team Secret,1.0,Denial Esports|,,0,0,1,20,91,77,103,78,61,13,29,68,15,3,109,101,16,58,50,1,18,104,82,1
1537,1047707445,20.0,3.0,SLTV Star Series Season 11 Ticket,2158,Vega Squadron,8.0,Team Empire,21.0,0,0,1,29,78,84,43,101,103,20,104,13,17,94,91,65,31,46,110,44,95,9,93,1
