,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
52,2697030191,20.0,3,World Electronic Sports Games International,4972,Romania,,WOOF,,33,37,1,88,98,9,16,23,111,32,2,6,59,93,76,54,79,17,13,48,55,109,65,1
53,2697223192,20.0,3,World Electronic Sports Games International,4972,Romania,,Horde,,22,27,0,23,76,58,16,91,98,30,28,6,15,19,10,46,101,38,93,17,8,106,103,0
54,2697268185,20.0,3,World Electronic Sports Games International,4972,Fantastic Five,,Team Ukraine,,34,7,0,55,58,6,91,79,76,66,9,62,65,38,16,88,2,83,48,103,96,34,17,1
55,2697379124,20.0,3,World Electronic Sports Games International,4972,Romania,,Horde,,25,10,1,91,76,58,16,111,23,50,9,98,93,59,8,41,2,6,85,10,94,109,34,1
56,2697388470,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Fantastic Five,,33,20,0,58,76,66,6,91,79,16,55,71,48,32,10,23,111,1,13,59,97,81,88,1
57,2697484544,20.0,3,World Electronic Sports Games International,4972,Fantastic Five,,Team Ukraine,,19,31,0,76,66,6,91,79,16,55,65,74,111,48,93,10,103,32,1,97,73,88,54,0
58,2697491527,20.0,3,World Electronic Sports Games International,4972,Romania,,Horde,,42,39,0,9,76,16,91,98,111,65,58,93,10,79,54,8,23,60,82,15,18,28,97,0
59,2698663165,20.0,3,World Electronic Sports Games International,4972,Alliance,,Horde,,14,36,1,58,76,32,65,79,91,19,98,2,59,48,55,28,23,101,18,16,17,38,70,0
60,2698794126,20.0,3,World Electronic Sports Games International,4972,Alliance,,Horde,,36,34,1,58,76,32,65,91,98,23,6,88,93,16,82,55,5,10,17,41,79,28,31,0
61,2698876192,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Danish Bears,,6,34,1,91,9,76,79,6,65,111,88,20,61,16,96,84,66,104,50,74,1,94,35,0
62,2699014786,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Danish Bears,,14,36,0,9,91,79,6,65,111,88,96,76,54,35,1,66,62,16,86,61,93,37,10,0
63,2699279165,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Alliance,,36,34,1,91,79,6,66,65,8,87,96,111,54,50,98,84,86,104,14,76,17,34,93,1
64,2699436897,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Alliance,,14,25,0,66,91,96,6,79,103,41,28,44,34,76,16,8,50,97,2,59,90,46,111,0
65,2699546318,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Alliance,,9,33,1,91,66,6,96,79,65,84,16,10,76,23,111,90,58,70,93,34,89,74,73,0
66,2699691501,20.0,3,World Electronic Sports Games International,4972,Danish Bears,,Horde,,38,30,1,58,6,91,96,65,76,111,75,50,93,79,55,28,84,9,48,30,8,86,54,1
67,2725401535,20.0,10,World Electronic Sports Games International,4972,Team DileCom,,Rebirth Esports,,35,17,1,6,65,41,76,79,38,111,98,23,70,59,10,107,16,15,34,54,8,9,17,1
68,2725532988,20.0,10,World Electronic Sports Games International,4972,Vultur,,KINGAO + 4,,15,49,0,65,79,103,111,76,91,88,16,23,54,85,59,6,62,84,26,8,94,93,13,0
69,2725650073,20.0,10,World Electronic Sports Games International,4972,Rebirth Esports,,KINGAO + 4,,9,27,1,41,107,23,76,79,111,65,52,88,54,6,8,103,16,109,93,17,74,85,9,0
70,2727005615,20.0,10,World Electronic Sports Games International,4972,Team One !,,Infamous?,,12,34,0,76,6,2,59,41,103,74,23,13,16,46,26,79,54,28,17,87,1,20,93,0
71,2727139225,20.0,10,World Electronic Sports Games International,4972,Learn2Gank,,Team One !,,6,24,0,65,74,76,111,84,79,89,6,20,88,9,82,55,26,17,41,47,48,13,8,0
72,2727428126,20.0,10,World Electronic Sports Games International,4972,Infamous?,,,,30,10,1,91,79,111,84,6,16,54,76,41,34,23,13,20,85,65,28,86,15,87,8,1
73,2727610491,20.0,10,World Electronic Sports Games International,4972,Learn2Gank,,Infamous?,,30,36,1,76,6,41,55,65,54,79,111,59,17,10,23,16,37,9,15,8,73,46,11,0
74,2727828902,20.0,10,World Electronic Sports Games International,4972,Team One !,,,,25,36,0,6,76,65,84,79,41,23,28,10,87,91,93,74,14,20,1,17,2,46,9,0
75,2727976981,20.0,10,World Electronic Sports Games International,4972,,,Learn2Gank,,32,36,1,6,79,76,41,84,111,16,2,50,85,112,54,55,87,98,10,13,1,17,73,0
76,2728148271,20.0,10,World Electronic Sports Games International,4972,Vultur,,,,5,18,0,76,65,6,79,16,103,41,50,54,91,28,9,111,84,72,73,59,34,8,70,0
77,2728228878,20.0,10,World Electronic Sports Games International,4972,Vultur,,,,21,29,0,6,111,76,79,84,16,54,55,1,91,8,17,37,20,66,34,94,88,41,9,0
78,2728317804,20.0,10,World Electronic Sports Games International,4972,Team DileCom,,Team One !,,46,47,0,76,6,79,41,84,87,65,54,16,59,13,98,23,37,34,17,2,1,38,93,0
79,2728393044,20.0,10,World Electronic Sports Games International,4972,Team One !,,Team DileCom,,12,26,1,76,6,79,41,84,111,16,28,37,59,88,17,10,87,29,70,46,13,49,15,0
80,2728439419,20.0,10,World Electronic Sports Games International,4972,Team One !,,Team DileCom,,14,37,1,79,6,84,76,41,111,70,103,74,59,87,16,17,26,85,13,54,65,63,9,0
81,2729539874,20.0,10,World Electronic Sports Games International,4972,Infamous?,,,,33,21,1,16,6,91,76,23,79,8,2,46,65,111,98,84,70,74,17,87,38,50,88,1
82,2729678939,20.0,10,World Electronic Sports Games International,4972,Infamous?,,,,22,37,1,91,6,16,76,20,79,28,2,46,15,85,98,23,50,17,64,1,10,19,54,0
