,radiant_win,Disabler_radiant,Disabler_dire,Nuker_radiant,Nuker_dire,Carry_radiant,Carry_dire,Initiator_radiant,Initiator_dire,Escape_radiant,Escape_dire,Durable_radiant,Durable_dire,Support_radiant,Support_dire,Pusher_radiant,Pusher_dire,Jungler_radiant,Jungler_dire
4558,0,4,5,5,3,1,4,2,3,2,1.0,1,2.0,4,1.0,1,2.0,0,0.0
4559,0,2,4,3,5,1,3,3,2,2,1.0,2,2.0,2,2.0,1,1.0,3,0.0
4560,0,2,3,4,2,3,0,3,2,3,2.0,2,1.0,1,2.0,1,1.0,1,3.0
4561,0,3,3,4,2,4,2,2,2,1,2.0,2,1.0,2,2.0,0,2.0,0,2.0
4562,0,5,4,5,3,2,2,5,1,1,2.0,3,3.0,1,3.0,0,2.0,0,1.0
4563,0,3,3,3,4,3,2,3,3,2,0.0,1,4.0,1,3.0,3,1.0,1,0.0
4564,0,4,4,4,3,1,2,4,2,3,1.0,1,2.0,2,2.0,0,1.0,1,1.0
4565,1,3,4,3,4,1,2,2,3,1,2.0,1,2.0,2,1.0,2,1.0,2,0.0
4566,0,5,3,2,5,1,3,4,3,0,2.0,2,1.0,2,2.0,2,0.0,2,0.0
4567,1,4,4,3,3,1,4,3,1,4,1.0,1,1.0,3,1.0,0,1.0,1,0.0
4568,0,3,4,2,3,2,2,2,3,2,2.0,1,1.0,3,1.0,2,0.0,1,2.0
4569,0,2,4,4,5,2,2,2,4,1,2.0,1,2.0,2,2.0,1,0.0,1,0.0
4570,0,3,4,4,2,3,1,1,3,2,1.0,0,1.0,2,3.0,1,0.0,0,2.0
4571,0,4,3,5,5,2,3,2,3,0,4.0,3,1.0,3,1.0,1,0.0,0,0.0
4572,0,5,2,4,3,0,3,4,1,1,3.0,2,0.0,3,1.0,1,1.0,1,0.0
4573,0,4,4,2,5,3,2,2,3,2,2.0,1,3.0,2,2.0,1,1.0,0,0.0
4574,0,5,3,4,3,1,2,5,2,2,0.0,1,2.0,3,1.0,0,2.0,0,2.0
4575,0,2,4,5,4,2,3,2,4,4,2.0,1,2.0,2,2.0,1,2.0,0,0.0
4576,1,4,3,2,4,3,2,3,2,1,1.0,3,1.0,1,3.0,1,1.0,1,0.0
4577,0,4,2,4,4,2,2,3,2,1,2.0,2,1.0,1,1.0,0,0.0,1,1.0
4578,0,4,5,4,4,3,1,2,2,3,1.0,2,1.0,1,3.0,1,0.0,0,1.0
4579,0,4,3,4,4,2,2,3,3,3,0.0,1,1.0,2,1.0,1,1.0,0,1.0
4580,0,2,3,3,3,1,3,1,3,1,3.0,1,2.0,2,1.0,2,0.0,2,1.0
4581,0,2,4,4,3,2,2,2,2,1,1.0,1,3.0,3,1.0,1,2.0,0,2.0
4582,1,4,3,4,3,2,2,4,1,3,1.0,3,1.0,1,3.0,1,1.0,2,0.0
4583,1,4,5,4,3,1,3,3,2,0,2.0,2,2.0,4,1.0,1,1.0,1,1.0
4584,1,3,4,4,3,3,3,1,3,2,2.0,1,2.0,2,2.0,2,1.0,0,0.0
4585,1,4,3,5,3,1,3,3,3,1,1.0,2,2.0,3,1.0,1,3.0,0,1.0
4586,0,2,3,3,3,2,2,2,2,2,0.0,3,2.0,2,2.0,1,1.0,1,1.0
4587,1,3,4,3,5,2,2,3,3,3,2.0,2,2.0,0,4.0,1,1.0,2,0.0
4588,1,3,2,4,1,2,3,2,1,2,2.0,2,2.0,2,2.0,1,3.0,1,2.0
4589,0,3,2,5,2,2,3,2,2,1,3.0,0,3.0,3,1.0,0,2.0,0,1.0
4590,1,4,5,5,2,1,3,3,3,3,0.0,1,3.0,2,1.0,0,1.0,1,1.0
4591,1,2,3,4,5,2,3,2,2,1,2.0,1,1.0,2,1.0,1,0.0,1,0.0
4592,0,2,2,3,4,3,2,3,1,1,2.0,3,0.0,3,1.0,1,1.0,1,2.0
4593,1,2,4,3,5,4,1,1,1,2,0.0,2,2.0,1,3.0,2,0.0,1,0.0
4594,1,4,3,4,4,1,3,2,1,2,0.0,1,2.0,3,1.0,0,2.0,1,0.0
4595,1,3,4,1,5,3,2,2,3,2,0.0,1,1.0,0,3.0,3,0.0,2,0.0
4596,1,3,3,4,3,1,3,1,3,1,3.0,0,2.0,2,2.0,0,1.0,1,0.0
4597,0,3,4,3,4,2,2,2,2,3,1.0,2,1.0,1,3.0,2,1.0,2,0.0
