,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
10,3783629450,1521199870,5138057,12,4288603.0,42,False,68.0,76.0,54.0,7.0,65.0,63.0,29.0,19.0,51.0,3.0,113331514.0,175463659.0,56351509.0,182993582.0,47976221.0,101908305.0,92590479.0,136477860.0,110228930.0,116852311.0,World Electronic Sports Games International
11,3794869690,1521752152,5196328,16,5026801.0,26,False,111.0,15.0,107.0,57.0,34.0,17.0,100.0,12.0,53.0,68.0,86974263.0,177648913.0,236858633.0,40547474.0,238239590.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,GESC: Thailand
12,3797438076,1521888609,726228,18,5027210.0,18,False,109.0,119.0,60.0,13.0,97.0,19.0,30.0,108.0,77.0,107.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,EPICENTER XL
13,3794537388,1521735299,350190,7,2163.0,15,False,27.0,12.0,100.0,119.0,96.0,98.0,29.0,68.0,16.0,72.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,82262664.0,34505203.0,105599955.0,101356886.0,72312627.0,Corsair DreamLeague season 9
14,3794749157,1521745308,46,19,5229127.0,38,False,49.0,58.0,16.0,17.0,68.0,90.0,86.0,22.0,38.0,72.0,11865327.0,92847434.0,112250781.0,5150808.0,113331514.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,SL i-League Invitational Season 4
15,3796675902,1521849629,5026801,32,5134637.0,14,True,39.0,91.0,72.0,3.0,60.0,19.0,54.0,86.0,11.0,107.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,118207269.0,113055105.0,371759313.0,126238768.0,128660724.0,SL i-League Invitational Season 4
16,3780275838,1521020037,5154535,27,5131934.0,15,True,87.0,69.0,100.0,76.0,48.0,86.0,65.0,14.0,56.0,49.0,100175472.0,118073569.0,175105750.0,194818271.0,204872035.0,60943014.0,98092287.0,118078153.0,94786276.0,128771383.0,World Electronic Sports Games International
17,3797009380,1521871148,726228,28,4288603.0,51,False,74.0,37.0,107.0,63.0,69.0,72.0,104.0,34.0,100.0,101.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,101908305.0,92590479.0,136477860.0,110228930.0,116852311.0,EPICENTER XL
18,3781488024,1521083282,2626685,20,3715574.0,27,False,30.0,100.0,54.0,72.0,38.0,68.0,49.0,16.0,10.0,13.0,158847773.0,142974425.0,135878232.0,254710104.0,397462905.0,85008179.0,85937380.0,105045291.0,86822085.0,87063175.0,World Electronic Sports Games International
19,3792361808,1521624851,350190,30,2586976.0,12,True,63.0,12.0,66.0,87.0,16.0,37.0,43.0,100.0,13.0,54.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,94155156.0,88271237.0,26771994.0,41231571.0,19672354.0,Corsair DreamLeague season 9
20,3786106535,1521303060,5065748,20,5059375.0,31,True,47.0,29.0,107.0,87.0,76.0,11.0,16.0,109.0,86.0,66.0,28070572.0,97975407.0,157989498.0,229210222.0,185202677.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,GESC: Indonesia
21,3796359654,1521830110,2163,8,1838315.0,39,False,54.0,29.0,87.0,91.0,72.0,60.0,70.0,30.0,65.0,19.0,82262664.0,34505203.0,105599955.0,101356886.0,72312627.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,Corsair DreamLeague season 9
22,3785089541,1521266077,5231224,9,5059375.0,32,False,26.0,76.0,65.0,37.0,11.0,43.0,19.0,8.0,89.0,87.0,121404228.0,331999484.0,226340817.0,117891932.0,119939006.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,GESC: Indonesia
23,3794026128,1521715801,5051649,11,46.0,36,False,100.0,72.0,108.0,54.0,30.0,19.0,33.0,16.0,15.0,3.0,112377459.0,115141430.0,110539311.0,101450083.0,145550466.0,11865327.0,92847434.0,112250781.0,5150808.0,113331514.0,Corsair DreamLeague season 9
24,3793708269,1521698564,4288603,22,726228.0,35,False,10.0,38.0,92.0,100.0,68.0,12.0,79.0,107.0,43.0,16.0,101908305.0,92590479.0,136477860.0,110228930.0,116852311.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,EPICENTER XL
25,3794813617,1521748940,3477208,23,4324365.0,27,False,8.0,68.0,69.0,16.0,49.0,86.0,76.0,109.0,19.0,62.0,232033806.0,124438626.0,71266407.0,85312703.0,116885013.0,100704400.0,116514161.0,110605738.0,192651991.0,86919603.0,SL i-League Invitational Season 4
26,3780334499,1521022943,2626685,40,1605750.0,7,True,76.0,23.0,30.0,12.0,19.0,38.0,39.0,54.0,66.0,68.0,135878232.0,142974425.0,158847773.0,254710104.0,397462905.0,54795423.0,108997922.0,203463490.0,82986718.0,100217790.0,World Electronic Sports Games International
27,3787212636,1521356463,5065748,28,5027210.0,19,True,43.0,89.0,60.0,64.0,46.0,45.0,87.0,94.0,108.0,88.0,28070572.0,157989498.0,97975407.0,229210222.0,185202677.0,137272985.0,114239371.0,108382060.0,139937922.0,182331313.0,GESC: Indonesia
28,3782034378,1521115004,350190,15,5027210.0,33,False,48.0,19.0,103.0,27.0,58.0,94.0,87.0,16.0,43.0,65.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,137272985.0,114239371.0,182331313.0,108382060.0,139937922.0,GESC: Indonesia
29,3783551872,1521196556,5154535,32,769603.0,32,False,87.0,51.0,58.0,11.0,8.0,103.0,101.0,30.0,73.0,49.0,100175472.0,155332459.0,118073569.0,194818271.0,204872035.0,39749294.0,94054712.0,151069590.0,104744109.0,8712306.0,World Electronic Sports Games International
30,3788263049,1521390795,2006913,25,5167588.0,22,True,86.0,47.0,38.0,119.0,77.0,68.0,41.0,43.0,104.0,16.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,75750590.0,169181898.0,245373129.0,52309044.0,98172857.0,SL i-League Invitational Season 4
31,3781636310,1521093863,350190,30,5196328.0,10,True,80.0,12.0,107.0,68.0,16.0,91.0,8.0,38.0,101.0,47.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,86974263.0,177648913.0,38628747.0,40547474.0,238239590.0,GESC: Indonesia
32,3796409885,1521832458,5327206,16,3715574.0,31,False,30.0,72.0,58.0,100.0,65.0,3.0,16.0,47.0,13.0,95.0,186837494.0,136938490.0,91364275.0,100758751.0,837140479.0,85008179.0,105045291.0,85937380.0,87063175.0,86822085.0,SL i-League Invitational Season 4
33,3784841338,1521252006,2626685,22,67.0,13,True,78.0,30.0,103.0,41.0,11.0,109.0,43.0,3.0,89.0,16.0,397462905.0,158847773.0,142974425.0,254710104.0,135878232.0,94004717.0,101062921.0,116525052.0,84853828.0,117956848.0,World Electronic Sports Games International
34,3785816471,1521294945,5065748,13,5059375.0,36,False,72.0,7.0,78.0,10.0,87.0,43.0,51.0,8.0,86.0,66.0,28070572.0,157989498.0,97975407.0,185202677.0,229210222.0,100317750.0,40209325.0,169359249.0,117015167.0,18180970.0,GESC: Indonesia
35,3792544900,1521633406,5027210,27,15.0,11,True,25.0,53.0,57.0,44.0,16.0,72.0,92.0,119.0,91.0,108.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,EPICENTER XL
36,3792722654,1521639899,15,20,5152964.0,12,True,72.0,47.0,119.0,53.0,16.0,41.0,49.0,107.0,34.0,87.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,167372590.0,134711350.0,167072778.0,110837826.0,108221389.0,EPICENTER XL
37,3781854643,1521106497,350190,23,5027210.0,15,True,47.0,46.0,86.0,53.0,33.0,25.0,30.0,57.0,41.0,100.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,GESC: Indonesia
38,3788207664,1521388812,2006913,20,5167588.0,4,True,86.0,47.0,60.0,107.0,77.0,87.0,4.0,34.0,13.0,103.0,91460772.0,113372833.0,234699894.0,111030315.0,116881520.0,75750590.0,169181898.0,245373129.0,52309044.0,98172857.0,SL i-League Invitational Season 4
