"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win"
3212969722,1496113819,1375614,23,2512249,13,true
3213028515,1496116837,4149284,32,4145193,26,true
3213067383,1496118707,2640025,39,2659468,35,true
3213123428,1496121210,4145193,3,4149284,32,false
3213207337,1496124532,2776208,19,3325252,21,false
3213214106,1496124784,1375614,40,2640025,9,true
3213319908,1496128562,3325252,27,2776208,17,true
3213387845,1496130839,4186376,32,3214108,33,false
3213510089,1496134898,1983234,6,2776208,24,false
3213566656,1496136797,464103,34,350190,43,false
3213598630,1496137878,2776208,20,1983234,23,false
3214221605,1496156540,2006913,23,46,22,false
3214350650,1496160525,2006913,23,46,16,true
3214388232,1496161797,3715574,30,4251435,34,false
3214462160,1496164498,2006913,23,46,31,false
3214516591,1496166597,3715574,17,4251435,27,false
3214578635,1496169171,46,21,2006913,28,false
3214622621,1496171096,3715574,23,4372042,36,false
3214654590,1496172570,2006913,15,46,35,false
3214733567,1496176684,3715574,11,4372042,24,false
3214783574,1496179796,4372042,23,3,42,false
3214837163,1496183696,4372042,25,3,15,true
3214988381,1496196433,3214108,37,350190,21,true
3215025492,1496198692,4147910,9,4010914,19,false
3215069407,1496201211,464103,40,4186376,5,true
3215136931,1496204870,464103,48,4186376,42,false
3215254672,1496210457,464103,36,4186376,31,true
3215260245,1496210702,1951061,27,2776208,13,true
3215331529,1496213735,2776208,12,1951061,23,false
3215371257,1496215337,2659468,14,2512249,27,false
3215483917,1496219620,2512249,35,2659468,26,true
3215532021,1496221387,3336725,11,2208748,17,false
3215623855,1496224779,2208748,25,3336725,20,true
3215903469,1496234152,4100699,11,2006913,26,false
3215967015,1496235960,4425117,23,2552670,14,true
3215976471,1496236219,26,21,46,9,true
3216114597,1496239970,46,41,2552670,18,true
3216127084,1496240304,4425117,11,26,36,false
3216267229,1496244275,4425117,14,46,17,false
3216271104,1496244395,2552670,20,26,39,false
3216390230,1496248204,4251435,35,3,14,true
3216401030,1496248577,2552670,23,3729377,7,true
3216408225,1496248826,26,22,2006913,30,false
3216489929,1496251802,3,5,4251435,25,false
3216532734,1496253457,3729377,8,4100699,22,false
3216534272,1496253516,2006913,43,2537636,49,false
3216623131,1496257255,3715574,27,3,19,true
3216655961,1496259210,3729377,3,2006913,27,false
3216658398,1496259332,4100699,37,2537636,22,true
3216687296,1496260802,3715574,32,3,29,false
3216697654,1496261339,2672298,29,3922738,28,true
3216735412,1496263436,2537636,19,3729377,31,false
3216779943,1496266205,4251435,27,4372042,15,true
3216791748,1496266996,3922738,30,3477208,11,true
3216795099,1496267229,4151852,19,2672298,45,false
3216826601,1496269507,4251435,34,4372042,21,true
3216843640,1496270830,4151852,18,3922738,24,false
3216863354,1496272951,,25,3477208,18,true
3216888214,1496275228,1633432,8,3922738,28,false
3216909485,1496277009,,37,4151852,5,true
3216935409,1496279055,3715574,37,1633432,35,true
3216947449,1496279935,4372042,29,4481957,13,true
3216972655,1496281640,350190,26,2512249,15,true
3217000503,1496283392,2016525,23,4010559,31,false
3217001813,1496283472,1633432,27,4481957,29,false
3217003539,1496283571,3715574,24,4372042,33,false
3217040638,1496285687,350190,12,2512249,28,false
3217081513,1496287933,4010559,22,2016525,14,true
3217082065,1496287962,1633432,25,4372042,38,false
3217091874,1496288491,3715574,12,4481957,28,false
3217100388,1496288944,2512249,3,350190,23,false
3217181531,1496293028,2640025,28,464103,21,true
3217293224,1496298038,3346336,29,3349045,42,false
3217296290,1496298169,464103,40,2640025,39,false
3217401511,1496302394,3349045,32,3346336,14,true
3217545522,1496307686,2208748,44,1983234,29,true
3217683193,1496312662,1983234,33,2208748,21,true
3217973161,1496322014,4100699,18,26,33,false
3217986927,1496322389,2537636,3,46,24,false
3218108679,1496325680,4370100,51,1964407,55,true
3218119043,1496325956,2537636,17,26,37,false
3218120772,1496326003,46,26,4100699,16,true
3218265815,1496330010,4425117,41,2537636,33,true
3218291145,1496330755,2552670,37,4100699,18,true
3218360926,1496332925,1964407,40,4370100,17,true
3218413554,1496334671,46,12,2006913,22,false
3218424062,1496335029,26,31,3729377,40,false
3218482941,1496337132,4370100,14,1964407,28,false
3218524616,1496338691,2552670,31,2537636,11,true
3218556660,1496339978,4100699,35,4425117,31,true
3218611351,1496342174,46,7,3729377,25,false
3218663784,1496344438,4425117,15,2006913,32,false
3218732802,1496347706,2552670,29,2006913,12,true
3218736815,1496347912,3729377,25,4425117,17,true
3218798615,1496351414,2672298,36,4372042,13,true
3218800644,1496351535,3715574,28,3477208,8,true
3218858422,1496355382,3715574,12,3922738,33,false
3218861261,1496355595,4372042,26,4151852,18,true
3218908053,1496359843,1633432,8,2672298,38,false
3218911643,1496360131,3477208,20,4481957,24,false
3218960737,1496364476,2672298,30,4481957,14,true
3218965147,1496364841,3922738,42,4372042,19,true
3219013471,1496368501,1375614,38,350190,40,false
3219015389,1496368645,3724222,50,3922738,52,true
3219021841,1496369091,3477208,38,1633432,29,true
3219027290,1496369462,2784193,11,4008781,31,false
3219079617,1496372852,4008781,34,2784193,16,true
3219081282,1496372953,1375614,30,350190,9,true
3219138311,1496376306,1375614,40,350190,19,true
3219270582,1496382916,2640025,14,3214108,23,false
3219281022,1496383387,3258149,8,2414095,26,false
3219368245,1496386997,2640025,37,3214108,40,false
3219379855,1496387451,2414095,18,3258149,14,true
3219763742,1496401166,2414095,16,3349045,17,true
3220123407,1496411536,4429098,12,4484020,32,false
3220248759,1496414712,4429098,47,4484019,22,false
3220426563,1496419564,2006913,20,26,35,false
3220584307,1496424607,2564834,33,3704482,52,false
3220728466,1496430010,2564834,13,3704482,24,false
3221089620,1496452007,1375614,48,3214108,18,true
3221170331,1496456916,2086959,37,1375614,35,true
3221277962,1496462340,3214108,10,1375614,19,false
3221355623,1496465832,3214108,34,1375614,39,false
3222404343,1496498642,4328182,22,3327688,8,true
3222429733,1496499266,2663631,10,4278602,28,false
3222538165,1496501934,3327688,11,4328182,30,false
3222566079,1496502638,4278602,27,2099268,42,true
3222878055,1496511215,3152713,12,2552670,25,false
3222978665,1496514619,2552670,27,3152713,11,true
3223420068,1496538431,4251936,10,4151852,34,false
3223484992,1496542169,4535815,12,4151852,41,false
3223501002,1496543007,2784193,43,4147910,49,false
3223611725,1496548336,4147910,35,2784193,16,true
3225198345,1496597549,1914023,4,610004,29,false
3225245583,1496599375,4469031,27,2741032,6,true
3225312139,1496602035,4288098,19,4536774,3,true
3225352924,1496603736,4483225,28,4484560,12,true
3225432207,1496607320,2672298,32,2626397,19,true
3225450144,1496608196,,22,1847558,17,true
3225463019,1496608847,3008699,27,4536981,13,true
3225512414,1496611493,2626397,6,2672298,18,false
3225533813,1496612749,2125430,22,4107259,7,true
3225557829,1496614233,4527772,21,4536975,11,true
3225585042,1496616020,4288098,35,4536930,22,true
3225585287,1496616037,3922738,26,4469196,10,true
3225603929,1496617373,4536975,12,4527772,20,false
3225623991,1496618872,4469196,21,3922738,29,false
3225643072,1496620350,3008699,30,4469031,20,true
3225662002,1496621865,4527772,32,4527823,21,true
3225717779,1496626189,4527823,9,4527772,28,false
3226005477,1496642663,2634810,12,2860081,22,false
3226076309,1496645826,2634810,21,2860081,36,false
3226266521,1496653282,2414095,21,2643401,13,true
3226353949,1496656510,2643401,14,2414095,17,false
3226893253,1496673210,3510168,40,992217,23,true
3227435064,1496693681,2967569,26,4469196,37,false
3227496202,1496697118,4469196,13,2967569,1,true
3227592297,1496703806,2626397,20,4425718,37,false
3227632047,1496707138,2626397,33,4425718,68,false
3227678636,1496710901,1905619,30,4151852,13,true
3227731921,1496714689,4151852,10,1905619,26,false
3227733097,1496714769,4010914,24,4008781,21,true
3227817062,1496719966,4008781,22,2452979,67,false
3227988710,1496728912,1951061,25,3443541,9,true
3228056001,1496731951,3443541,9,1951061,22,false
3228844248,1496759114,3510168,20,4369633,42,false
3228886536,1496760353,992217,27,4278602,6,true
3229403400,1496780530,2626397,6,3714164,15,false
3229442535,1496782738,3714164,14,2626397,34,false
3229625245,1496797439,3477208,32,3714164,21,false
3229677502,1496801113,3714164,22,3477208,42,false
3229744714,1496805244,4010559,14,4149284,22,false
3229811943,1496809103,4010559,14,4149284,1,true
3229863090,1496811743,4010559,17,4149284,34,false
3229937797,1496815373,3355113,24,3325252,35,false
3230034606,1496819674,3325252,30,3355113,16,true
3230814190,1496846251,3510168,7,3927252,27,false
3230825043,1496846577,4278602,6,4369633,25,false
3230832430,1496846799,4536431,15,2679744,36,false
3231341605,1496866755,4469196,5,4151852,17,false
3231386321,1496869316,4469196,27,4151852,56,false
3231464683,1496874620,3747060,36,3477208,30,true
3231505396,1496878216,,24,3477208,13,true
3231593082,1496885332,3922738,34,4151852,14,true
3231644812,1496889045,3922738,38,4151852,57,false
3231871962,1496901820,2414095,5,3325252,21,false
3231937607,1496904769,3325252,30,2414095,12,true
3232752877,1496932349,992217,4,4369633,28,false
3232804015,1496933795,3510168,43,2860369,33,true
3232815711,1496934133,4425117,34,464103,21,true
3232930436,1496937676,464103,42,4425117,17,true
3233042527,1496941643,464103,31,4425117,18,true
3233305377,1496952969,3747060,44,4425718,54,false
3233423508,1496959780,4425718,27,,42,false
3233641612,1496969387,2967569,24,1905619,26,false
3233738209,1496973982,4008781,27,2016525,10,true
3233746308,1496974307,3714164,6,4425718,19,false
3233804506,1496976411,4425718,22,3714164,29,false
3233848492,1496977966,2016525,32,4008781,17,true
3233957494,1496981971,4008781,41,2016525,16,true
3234626573,1496999008,1951061,40,2860081,38,false
3234839913,1497003698,2860081,22,1951061,37,false
3234986615,1497006875,1951061,50,2860081,17,true
3235667380,1497019281,2714312,20,4369633,29,false
3236477832,1497038980,4469196,30,1905619,26,false
3236610190,1497043309,4469196,28,1905619,38,false
3236748398,1497048775,2626397,45,3747060,24,true
3236819587,1497052583,2626397,11,3747060,34,false
3236912532,1497057832,3922738,22,1905619,24,false
3236988838,1497061171,4010914,32,4149284,11,true
3237009552,1497061972,3922738,49,1905619,49,true
3237107184,1497065580,4149284,27,4010914,27,true
3237243159,1497070104,4149284,18,4010914,33,false
3237402754,1497074451,2414095,34,2860081,6,true
3237527371,1497077390,2860081,11,2414095,38,false
3237881118,1497085535,1951061,20,3325252,31,false
3238061405,1497089733,3325252,29,1951061,34,false
3238219788,1497093496,1951061,25,3325252,15,true
3238792868,1497105598,4278602,4,2714312,35,false
3238806208,1497105858,4287944,27,4369633,32,false
3238954677,1497109008,3865400,11,2672298,27,false
3239222463,1497114907,3705786,23,2622695,7,true
3239248933,1497115566,3447444,22,4151852,42,false
3239358776,1497118778,2672298,19,2674713,10,true
3239494473,1497122660,4151852,35,3705786,27,true
3239677332,1497128699,3865400,37,4581890,3,true
3239755484,1497131727,3447444,22,2622695,38,false
3239811432,1497134182,3714164,25,3747060,43,false
3239860032,1497136555,3865400,9,3705786,31,false
3239883659,1497137799,3747060,7,3714164,19,false
3239938918,1497140789,2622695,30,2674713,25,true
3240078917,1497147479,4008781,46,4010559,44,false
3240080090,1497147527,2622695,29,3705786,38,false
3240086740,1497147795,2672298,25,4151852,14,true
3240161612,1497150699,4151852,23,2672298,39,false
3240235771,1497153461,4008781,10,4010559,37,false
3242015408,1497197861,3705786,7,4151852,25,false
3242108571,1497201144,2790766,42,4291528,57,true
3242143864,1497202250,3705786,38,4151852,15,true
3242236148,1497205429,4151852,49,3705786,39,true
3242268737,1497206509,2790766,32,4291528,6,true
3242430132,1497211985,4151852,30,2672298,21,true
3242501668,1497214760,4151852,10,2672298,35,false
3242515008,1497215312,1905619,25,3477208,10,true
3242565631,1497217551,2672298,5,4151852,18,false
3242588616,1497218654,3477208,33,1905619,16,true
3242658482,1497222423,3477208,9,1905619,23,false
3242741496,1497227606,4151852,23,3747060,15,true
3242781824,1497230109,3747060,38,4151852,18,true
3242840568,1497233402,4151852,28,3747060,15,true
3242845951,1497233687,4149284,15,4010559,21,false
3242942579,1497238468,4149284,8,4010559,22,false
3244107379,1497275164,3655754,40,4541528,8,true
3244161798,1497276454,464103,26,3704482,11,true
3244178141,1497276833,4425117,27,4541043,35,false
3244207688,1497277507,4541528,3,3655754,28,false
3244219627,1497277785,4287944,6,992217,23,false
3244308553,1497279947,3704482,35,464103,13,true
3244313856,1497280075,3510168,14,2714312,41,false
3244314277,1497280086,4328182,15,4186376,43,false
3244398858,1497282266,4541043,4,4425117,33,false
3244429669,1497283099,4328182,14,4186376,30,false
3244437763,1497283322,464103,34,3704482,46,false
3244505517,1497285285,4425117,37,4541043,20,true
3244670022,1497290554,464103,28,4186376,54,false
3244670949,1497290584,2552670,36,2537636,33,true
3244765610,1497293909,464103,22,4186376,43,false
3244793506,1497294934,2552670,29,2537636,22,true
3244942284,1497301230,4469196,42,4425718,23,true
3245007839,1497304677,4425718,56,4469196,52,false
3245137113,1497314196,3714164,17,3922738,38,false
3245193754,1497318204,3922738,38,3714164,25,true
3246332120,1497360774,24,29,4538958,1,true
3246422634,1497362965,4370100,25,4291528,20,true
3246432406,1497363197,4538958,6,24,37,false
3246519044,1497365402,3927252,6,2714312,21,false
3246549562,1497366175,2552670,4,3704482,31,false
3246623014,1497368039,2564834,61,4429098,31,true
3246691279,1497370190,3704482,51,2552670,35,true
3246788243,1497373292,3152713,33,3327688,12,true
3246792985,1497373448,4429098,6,4100699,20,false
3246882709,1497376455,4429098,39,4100699,53,false
3246946059,1497378679,464103,26,4541043,18,true
3247174899,1497388269,3747060,29,3477208,26,true
3247256268,1497392965,1727580,22,3747060,33,false
3247371641,1497401395,3714164,22,4425718,33,false
3247428447,1497405995,4425718,52,3714164,28,true
3248562205,1497447639,24,40,,4,true
3248625914,1497449208,1964407,29,2790766,43,false
3248659909,1497450035,4287944,24,3927252,35,false
3248682875,1497450612,3323531,2,24,36,false
3248690791,1497450795,2714312,24,2860369,13,true
3248807346,1497453793,2790766,46,1964407,25,true
3249004797,1497459736,1883502,38,46,26,true
3249061303,1497461663,4592777,11,3704482,38,false
3249120421,1497463826,46,16,1883502,25,false
3249162178,1497465391,3704482,17,4592777,13,true
3249258873,1497469219,15,39,3214108,16,true
3249356121,1497473696,15,20,3214108,30,false
3249431023,1497478085,15,27,3214108,11,true
3249497023,1497482926,1883502,26,15,7,true
3249548115,1497486846,15,26,1883502,5,true
3249593788,1497490078,15,33,1883502,9,true
3249764299,1497499998,3725701,9,2640025,38,false
3249766325,1497500101,4251435,30,2672298,43,false
3249769930,1497500279,26,4,2108395,3,true
3249779611,1497500758,1375614,17,726228,33,false
3249851438,1497504128,26,47,2108395,43,false
3249889032,1497505796,2672298,33,3725701,40,false
3249909565,1497506687,4251435,38,2640025,15,true
3249980204,1497509638,726228,32,26,25,true
3249994219,1497510192,2108395,11,1375614,33,false
3250134558,1497515398,726228,47,2108395,25,true
3250269020,1497519997,1375614,27,2108395,34,false
3250436168,1497525473,726228,8,1375614,21,false
3250608521,1497530326,2640025,17,1375614,44,false
3250617042,1497530546,4251435,18,726228,18,true
