,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2,match_id
3617,1715.3378510587975,1341.7515478947678,1157.1542966231568,149.43452126561186,1627.2354704270067,94.05228454030261,1392.1047590762503,1332.2314929721954,1597.7985066850567,1256.1246386778162,954.3610669267871,136.66954720289627,1565.9902775039427,101.23672799343709,1312.89845752035,1217.7417107975566,3718366519
3618,1935.9890799965858,1647.7830215519134,1440.1831054586762,115.28242337786891,1803.627752484012,47.330368840304615,1685.3018303832505,1661.4825120923228,1790.9454662305695,1535.4734938990155,1440.2071212597261,102.18878893262166,1757.2524882897333,52.6308607551089,1625.675336401961,1623.1212123669707,3719525556
3619,2127.6114195564046,1961.9123063931625,1930.1751044624564,66.27964526529684,1961.171203673732,37.2349497552947,1868.083829285495,1858.9074182048168,1666.0831655571133,1356.1388965135775,1445.9941895841407,123.97770761741425,1671.8429410181311,58.605518843775236,1525.329143908693,1552.236265521906,3719527599
3620,2127.6114195564046,1961.9123063931625,1930.1751044624564,66.27964526529684,1961.171203673732,37.2349497552947,1868.083829285495,1858.9074182048168,1316.6291550245105,739.4293919720103,0.0,230.8799052210001,1310.9445229473793,204.90823940211774,798.6739244420849,0.0,3719573937
3621,1544.2255052825321,1197.8739291374466,1130.8271552421597,138.54063045803426,1730.8789560901494,54.93310520330116,1593.5461930818965,1628.9046341913893,1846.5077736462017,1628.0877441329314,1583.4285862198278,87.36801180530811,1913.9923789327177,41.80265178057754,1809.4857494812738,1833.9828790089036,3719606567
3622,1870.685870672222,1618.9093883320056,1485.4015443351852,100.71059293608657,1808.6285208051067,45.888447489624824,1693.9074020810447,1688.0426100470602,2157.8713460466934,1989.7589549208287,1802.8351283195898,67.24495645034582,1974.6489115698766,38.24808868545127,1879.0286898562485,1832.2616837805565,3719624658
3623,1935.9890799965858,1647.7830215519134,1440.1831054586762,115.28242337786891,1803.627752484012,47.330368840304615,1685.3018303832505,1661.4825120923228,1597.7985066850567,1256.1246386778162,954.3610669267871,136.66954720289627,1565.9902775039427,101.23672799343709,1312.89845752035,1217.7417107975566,3719668104
3624,2288.1060760913665,1731.886234122749,0.0,222.487936787447,2110.5061244876033,195.6018639646232,1621.5014645760452,0.0,2157.8713460466934,1989.7589549208287,1802.8351283195898,67.24495645034582,1974.6489115698766,38.24808868545127,1879.0286898562485,1832.2616837805565,3719675657
3625,1898.8996609108117,1676.4673523455954,1587.3032232702612,88.9729234260865,1781.1821155875646,50.740792869858495,1654.3301334129183,1628.78086048171,1862.9284667693519,1640.866745930114,1488.3119559200545,88.82468833569516,1754.3166806173642,43.19230013217205,1646.3359302869342,1639.6801254226275,3719711384
3626,1763.133501283292,1290.9985935110994,860.11768413242,188.85396310887705,1677.5491206438403,86.52425291419401,1461.2384883583552,1439.1028024988352,1912.9574592360411,1719.9671682016317,1685.640932755023,77.19611641376379,1858.2267095909253,39.32881438998656,1759.904673615959,1766.7399771612731,3719714274
3627,1715.3378510587975,1341.7515478947678,1157.1542966231568,149.43452126561186,1627.2354704270067,94.05228454030261,1392.1047590762503,1332.2314929721954,1846.5077736462017,1628.0877441329314,1583.4285862198278,87.36801180530811,1913.9923789327177,41.80265178057754,1809.4857494812738,1833.9828790089036,3719722188
3628,1666.0831655571133,1356.1388965135775,1445.9941895841407,123.97770761741425,1671.8429410181311,58.605518843775236,1525.329143908693,1552.236265521906,1870.685870672222,1618.9093883320056,1485.4015443351852,100.71059293608657,1808.6285208051067,45.888447489624824,1693.9074020810447,1688.0426100470602,3719724830
3629,1862.9284667693519,1640.866745930114,1488.3119559200545,88.82468833569516,1754.3166806173642,43.19230013217205,1646.3359302869342,1639.6801254226275,1898.8996609108117,1676.4673523455954,1587.3032232702612,88.9729234260865,1781.1821155875646,50.740792869858495,1654.3301334129183,1628.78086048171,3719780221
3630,1763.133501283292,1290.9985935110994,860.11768413242,188.85396310887705,1677.5491206438403,86.52425291419401,1461.2384883583552,1439.1028024988352,1912.9574592360411,1719.9671682016317,1685.640932755023,77.19611641376379,1858.2267095909253,39.32881438998656,1759.904673615959,1766.7399771612731,3719783272
3631,2288.1060760913665,1731.886234122749,0.0,222.487936787447,2110.5061244876033,195.6018639646232,1621.5014645760452,0.0,1666.0831655571133,1356.1388965135775,1445.9941895841407,123.97770761741425,1671.8429410181311,58.605518843775236,1525.329143908693,1552.236265521906,3719784225
3632,1544.2255052825321,1197.8739291374466,1130.8271552421597,138.54063045803426,1730.8789560901494,54.93310520330116,1593.5461930818965,1628.9046341913893,1790.9454662305695,1535.4734938990155,1440.2071212597261,102.18878893262166,1757.2524882897333,52.6308607551089,1625.675336401961,1623.1212123669707,3719789185
