,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAgo_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAgo_elo32,radiant_thirtyDayAvg_elo32,radiant_current_elo64,radiant_sevenDayAgo_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAgo_elo64,radiant_thirtyDayAvg_elo64,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAgo_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAgo_elo32,dire_thirtyDayAvg_elo32,dire_current_elo64,dire_sevenDayAgo_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAgo_elo64,dire_thirtyDayAvg_elo64,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,3780128734,1521012491,67,20,1605750.0,7,True,48.0,53.0,3.0,43.0,16.0,60.0,87.0,45.0,77.0,58.0,94004717.0,117956848.0,116525052.0,101062921.0,84853828.0,54795423.0,100217790.0,108997922.0,203463490.0,82986718.0,World Electronic Sports Games International,paiN Gaming,White Rabbit  newb,1136.0493093571556,1165.8705732200087,1142.2713350485337,1184.9636741646298,1177.703639370837,1177.5649009550689,1238.0573934667066,1188.3819891894784,1275.5956226173494,1252.8444784430585,1910.6539851585521,1716.548004722323,1675.6842296875195,77.6423921744917,1775.1327437057585,43.23789924160298,1667.037995601751,1643.9469720609206,919.881595567047,915.9282228774716,917.9185097921627,901.5126189651301,911.0023389608845,874.3864143033406,868.1881216307952,871.3085916113065,845.5866268777709,860.4650778948727,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423
0,3781534918,1521086930,5258269,11,4.0,24,False,15.0,66.0,11.0,86.0,19.0,48.0,47.0,107.0,108.0,30.0,86751819.0,86741086.0,298683250.0,126821466.0,90199779.0,108376607.0,255219872.0,135384059.0,118134220.0,111114687.0,World Electronic Sports Games International,Team Serbia,EHOME,920.4309789117301,916.5047150634547,918.481354296445,902.187961006512,911.6126086365812,875.2477646052606,869.0919745110411,872.1910469831147,846.6454614363232,861.4218887893077,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423,1045.531309876102,1036.2027361405067,1038.1129459636306,1042.410340197502,1039.0380373985206,1067.35693335972,1051.766007403715,1055.0623630196385,1060.6422115758687,1055.9659789009504,1785.818600613311,1482.8637539890813,1397.949621696173,121.18193864969192,1793.2654331691542,48.844144907418574,1671.1550709006078,1682.6336622231981
0,3781943140,1521110930,5027210,34,350190.0,28,True,109.0,87.0,19.0,43.0,100.0,15.0,72.0,107.0,68.0,38.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,43276219.0,154715080.0,102099826.0,6922000.0,87276347.0,GESC: Indonesia,VGJ Thunder,Fnatic,1240.9733377246332,1285.545356257158,1264.1793579751602,1296.467609827788,1274.5873727826665,1352.3923324580394,1443.0365370797308,1395.753775694247,1459.9405043313202,1422.478046920702,2115.7851197983746,1925.3366637434565,1958.9540066848679,76.17938242196728,1974.5786830830093,39.93658976456119,1874.7372086716064,1884.7542458015196,1158.900126295024,1141.9200448629322,1146.1063585398344,1108.9497387796787,1153.1977586885491,1243.3978993841788,1218.646076229345,1224.8705272803993,1113.5835656449972,1230.3729103269682,2015.20394437825,1800.9946307483376,1705.7509857123887,85.68372545196495,1903.123410900777,38.38019188161606,1807.1729311967367,1799.2462983116045
0,3795410349,1521792659,5027210,20,4288603.0,16,True,8.0,64.0,89.0,109.0,13.0,12.0,51.0,106.0,100.0,87.0,137272985.0,114239371.0,182331313.0,108382060.0,139937922.0,101908305.0,92590479.0,136477860.0,110228930.0,116852311.0,EPICENTER XL,VGJ Thunder,Rock.Young,1253.3769521940185,1252.0902309925525,1231.3192090268963,1280.589257248554,1259.586101419556,1354.266213422497,1362.8853996520618,1319.0501446016733,1435.3067930888494,1388.9291738224122,2074.4847385228873,1931.0914026570015,1925.3366637434565,57.35733434635429,1961.993968720031,36.60668805326186,1870.4772485868764,1874.7372086716064,1051.7744354451531,1030.4157645146113,1058.6073137448072,,1053.0321504802337,1063.6456622410128,1061.6328868564844,1100.8731098254757,,1093.1530221044684,1854.4556301588032,1643.9164136443167,1466.7297861546663,84.21568660579459,1765.8933676463816,66.35304056339108,1600.010766237904,1501.691869816267
0,3794887472,1521753279,4324365,35,3477208.0,60,False,30.0,109.0,70.0,88.0,16.0,63.0,87.0,29.0,100.0,43.0,100704400.0,116514161.0,110605738.0,192651991.0,86919603.0,232033806.0,124438626.0,71266407.0,85312703.0,116885013.0,SL i-League Invitational Season 4,STARS e-Sports,Midas Club ,894.1725837554048,966.445379182291,932.2992512364935,976.1929101322056,965.7062274174846,857.0400324473187,972.7787186564042,914.8553086203422,986.3573480101363,968.1273667529938,1431.8398516508953,1062.606579658478,1061.7665857238335,147.69330879696687,1689.087092993499,59.566140318760404,1540.171742196598,1558.260420663828,974.6512257723372,930.6352199151412,937.3716148077868,918.7413926476064,927.8856916757032,979.4181321004867,871.630008294602,887.3879564168515,849.6186863267241,867.3909418608367,1443.9762775808808,1147.296507308733,866.4878641499884,118.6719081088591,1505.3041343240068,55.892379862887616,1365.5731846667877,1362.5242326773803
0,3783083001,1521169403,5138057,33,769603.0,6,True,27.0,72.0,39.0,100.0,57.0,90.0,74.0,54.0,3.0,78.0,113331514.0,175463659.0,56351509.0,182993582.0,47976221.0,39749294.0,94054712.0,104744109.0,151069590.0,8712306.0,World Electronic Sports Games International,Ultima Thule,Team Finland,930.6352199151412,927.2124754265716,928.9356227498419,914.7317576408494,922.9477517714274,871.630008294602,865.2957031750607,868.4846472951857,842.1982517498484,857.4031885650973,1371.1365765752475,866.4878641499884,907.8112880872653,201.85948497010367,1523.474634695667,64.38016080731471,1362.5242326773803,1364.6523931935415,930.6352199151412,927.2124754265716,928.9356227498419,914.7317576408494,922.9477517714274,871.630008294602,865.2957031750607,868.4846472951857,842.1982517498484,857.4031885650973,1371.1365765752475,866.4878641499884,907.8112880872653,201.85948497010367,1523.474634695667,64.38016080731471,1362.5242326773803,1364.6523931935415
0,3784894222,1521255422,67,35,2626685.0,15,True,95.0,47.0,87.0,100.0,33.0,19.0,89.0,64.0,77.0,49.0,94004717.0,101062921.0,116525052.0,84853828.0,117956848.0,397462905.0,142974425.0,158847773.0,254710104.0,135878232.0,World Electronic Sports Games International,paiN Gaming,KEEN GAMING,1162.1925845274925,1139.845806457479,1140.0161979837771,1203.285565095839,1173.2197356164745,1215.127454389197,1182.5199031875718,1181.3751657482862,1283.7006232081535,1244.5415642225194,1910.6539851585521,1716.548004722323,1675.6842296875195,77.6423921744917,1775.1327437057585,43.23789924160298,1667.037995601751,1643.9469720609206,1109.4490804424188,1034.612547170743,1059.1144240470885,1067.7888106909697,1054.9440227677521,1191.9806692290215,1070.2902497625275,1111.5496623071251,1141.1237242932687,1110.8805570433622,1909.57840901243,1667.159596908041,1468.5684103371032,96.96752484175555,1800.7676936082064,47.31699505794425,1682.4752059633458,1669.2652323135221
0,3796719492,1521853435,5134637,25,5026801.0,39,False,98.0,19.0,47.0,87.0,100.0,49.0,60.0,48.0,29.0,3.0,118207269.0,113055105.0,126238768.0,371759313.0,128660724.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,SL i-League Invitational Season 4,5 Turtles,OpTic Gaming,894.8982574667964,966.6754680107554,923.3558610220567,976.3561587484419,963.0838192669876,858.0203293676799,972.9653788713317,900.5105099592516,986.4508976237811,963.9874629258177,1431.8398516508953,1062.606579658478,1061.7665857238335,147.69330879696687,1689.087092993499,59.566140318760404,1540.171742196598,1558.260420663828,1095.9517675820778,1097.0711933089672,1101.7219066028315,1104.2792808013667,1104.2342087574307,1136.570437946716,1179.6122961364883,1178.3357057474532,1179.9083179970532,1184.584619754224,2012.729006420984,1842.4638969151529,1761.8328363571693,68.1060438023324,1894.2258344821566,39.44681763858438,1795.6087903856958,1774.0743498863376
0,3779891824,1520996806,3715574,34,2880140.0,9,True,119.0,8.0,43.0,103.0,13.0,30.0,78.0,72.0,89.0,39.0,85008179.0,86822085.0,85937380.0,105045291.0,87063175.0,121052479.0,101525357.0,118233883.0,275501116.0,126417273.0,World Electronic Sports Games International,SG e-sports team,Fire Dragoon,1145.415424315557,1152.5908214193926,1148.978437744781,1081.7679727978211,1120.768986779639,1215.7552289083205,1226.4014822334607,1221.0417298530724,1134.1184698653374,1178.9027756787366,1917.7053288528223,1726.2653938184392,1647.6023383097606,76.57597401375327,1749.2236591124754,42.701367122802196,1642.47024130547,1614.975331350074,919.881595567047,915.9282228774716,917.9185097921627,901.5126189651301,911.0023389608845,874.3864143033406,868.1881216307952,871.3085916113065,845.5866268777709,860.4650778948727,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423
0,3782033688,1521114975,2626685,34,4.0,40,False,7.0,66.0,41.0,47.0,15.0,61.0,39.0,16.0,72.0,86.0,142974425.0,158847773.0,397462905.0,135878232.0,254710104.0,108376607.0,255219872.0,118134220.0,135384059.0,111114687.0,World Electronic Sports Games International,KEEN GAMING,EHOME,1082.5560183530765,1035.0921610459227,1040.4006539711,1068.728136364661,1052.2772854561929,1160.446148215316,1071.2642369963958,1081.1437795908803,1143.0792260352875,1107.6512173888038,1909.57840901243,1667.159596908041,1468.5684103371032,96.96752484175555,1800.7676936082064,47.31699505794425,1682.4752059633458,1669.2652323135221,1045.531309876102,1036.2027361405067,1038.1129459636306,1042.410340197502,1039.0380373985206,1067.35693335972,1051.766007403715,1055.0623630196385,1060.6422115758687,1055.9659789009504,1785.818600613311,1482.8637539890813,1397.949621696173,121.18193864969192,1793.2654331691542,48.844144907418574,1671.1550709006078,1682.6336622231981
0,3783447476,1521191535,67,35,5051765.0,18,True,109.0,51.0,13.0,30.0,57.0,68.0,16.0,9.0,108.0,94.0,94004717.0,84853828.0,101062921.0,116525052.0,117956848.0,86715129.0,7396553.0,122445696.0,86743641.0,110583422.0,World Electronic Sports Games International,paiN Gaming,Team Leviathan,1133.654523406552,1140.8113701384282,1137.343546185144,1191.569549979997,1174.16737966333,1167.27476590101,1183.7801096537692,1177.4567476563575,1265.3971099358987,1246.1631660143482,1910.6539851585521,1716.548004722323,1675.6842296875195,77.6423921744917,1775.1327437057585,43.23789924160298,1667.037995601751,1643.9469720609206,930.6352199151412,927.2124754265716,928.9356227498419,914.7317576408494,922.9477517714274,871.630008294602,865.2957031750607,868.4846472951857,842.1982517498484,857.4031885650973,1371.1365765752475,866.4878641499884,907.8112880872653,201.85948497010367,1523.474634695667,64.38016080731471,1362.5242326773803,1364.6523931935415
0,3793855547,1521707031,4,37,5066616.0,32,True,23.0,63.0,43.0,16.0,90.0,30.0,72.0,9.0,94.0,100.0,108376607.0,118134220.0,255219872.0,135384059.0,111114687.0,117731777.0,168028715.0,157475523.0,124936122.0,138543123.0,EPICENTER XL,EHOME,Team Serenity,1070.0488474558808,1045.531309876102,1054.8472296474783,1040.4160457216274,1042.341647599769,1125.2550573906506,1067.35693335972,1098.324267310232,1057.7905856047644,1065.7522719440503,1811.5590412776648,1607.4470899211299,1482.8637539890813,81.64478054261397,1782.364939974988,43.733062416537955,1673.032283933643,1671.1550709006078,901.642821636685,966.2137017082907,941.3043909806044,976.028534367871,968.3467419533705,864.2879659650081,972.5907696482781,929.2991507704621,986.2631524843144,972.2958544961225,1431.8398516508953,1062.606579658478,1061.7665857238335,147.69330879696687,1689.087092993499,59.566140318760404,1540.171742196598,1558.260420663828
